date,Cooking_AE
2018-01-07,64
2018-01-14,71
2018-01-21,61
2018-01-28,77
2018-02-04,63
2018-02-11,81
2018-02-18,70
2018-02-25,49
2018-03-04,64
2018-03-11,57
2018-03-18,71
2018-03-25,84
2018-04-01,86
2018-04-08,61
2018-04-15,70
2018-04-22,100
2018-04-29,96
2018-05-06,85
2018-05-13,77
2018-05-20,93
2018-05-27,89
2018-06-03,75
2018-06-10,86
2018-06-17,67
2018-06-24,77
2018-07-01,48
2018-07-08,71
2018-07-15,87
2018-07-22,75
2018-07-29,71
2018-08-05,53
2018-08-12,55
2018-08-19,74
2018-08-26,94
2018-09-02,73
2018-09-09,44
2018-09-16,82
2018-09-23,64
2018-09-30,79
2018-10-07,75
2018-10-14,85
2018-10-21,89
2018-10-28,63
2018-11-04,58
2018-11-11,59
2018-11-18,67
2018-11-25,74
2018-12-02,74
2018-12-09,83
2018-12-16,93
2018-12-23,68
2018-12-30,59
2019-01-06,62
2019-01-13,67
2019-01-20,83
2019-01-27,71
2019-02-03,68
2019-02-10,73
2019-02-17,82
2019-02-24,66
2019-03-03,55
2019-03-10,59
2019-03-17,70
2019-03-24,91
2019-03-31,57
2019-04-07,43
2019-04-14,70
2019-04-21,64
2019-04-28,81
2019-05-05,99
2019-05-12,90
2019-05-19,79
2019-05-26,61
2019-06-02,65
2019-06-09,79
2019-06-16,54
2019-06-23,54
2019-06-30,63
2019-07-07,61
2019-07-14,58
2019-07-21,69
2019-07-28,47
2019-08-04,50
2019-08-11,79
2019-08-18,60
2019-08-25,76
2019-09-01,72
2019-09-08,84
2019-09-15,74
2019-09-22,78
2019-09-29,56
2019-10-06,49
2019-10-13,80
2019-10-20,76
2019-10-27,59
2019-11-03,69
2019-11-10,73
2019-11-17,68
2019-11-24,65
2019-12-01,59
2019-12-08,75
2019-12-15,64
2019-12-22,77
2019-12-29,75
2020-01-05,70
2020-01-12,65
2020-01-19,81
2020-01-26,66
2020-02-02,72
2020-02-09,60
2020-02-16,83
2020-02-23,79
2020-03-01,64
2020-03-08,79
