date,Game_AE
2018-01-07,68
2018-01-14,73
2018-01-21,71
2018-01-28,75
2018-02-04,71
2018-02-11,68
2018-02-18,72
2018-02-25,69
2018-03-04,73
2018-03-11,82
2018-03-18,77
2018-03-25,81
2018-04-01,79
2018-04-08,74
2018-04-15,71
2018-04-22,80
2018-04-29,73
2018-05-06,73
2018-05-13,75
2018-05-20,79
2018-05-27,90
2018-06-03,96
2018-06-10,89
2018-06-17,98
2018-06-24,100
2018-07-01,93
2018-07-08,71
2018-07-15,65
2018-07-22,67
2018-07-29,66
2018-08-05,63
2018-08-12,67
2018-08-19,78
2018-08-26,72
2018-09-02,65
2018-09-09,68
2018-09-16,67
2018-09-23,64
2018-09-30,71
2018-10-07,71
2018-10-14,66
2018-10-21,68
2018-10-28,70
2018-11-04,73
2018-11-11,76
2018-11-18,81
2018-11-25,66
2018-12-02,66
2018-12-09,69
2018-12-16,76
2018-12-23,77
2018-12-30,77
2019-01-06,63
2019-01-13,73
2019-01-20,73
2019-01-27,82
2019-02-03,71
2019-02-10,70
2019-02-17,68
2019-02-24,62
2019-03-03,65
2019-03-10,74
2019-03-17,65
2019-03-24,76
2019-03-31,68
2019-04-07,72
2019-04-14,69
2019-04-21,71
2019-04-28,77
2019-05-05,79
2019-05-12,74
2019-05-19,81
2019-05-26,80
2019-06-02,90
2019-06-09,80
2019-06-16,70
2019-06-23,75
2019-06-30,68
2019-07-07,59
2019-07-14,71
2019-07-21,65
2019-07-28,69
2019-08-04,61
2019-08-11,76
2019-08-18,69
2019-08-25,68
2019-09-01,62
2019-09-08,65
2019-09-15,66
2019-09-22,72
2019-09-29,72
2019-10-06,74
2019-10-13,74
2019-10-20,68
2019-10-27,73
2019-11-03,67
2019-11-10,67
2019-11-17,70
2019-11-24,65
2019-12-01,67
2019-12-08,74
2019-12-15,71
2019-12-22,67
2019-12-29,71
2020-01-05,64
2020-01-12,66
2020-01-19,65
2020-01-26,68
2020-02-02,62
2020-02-09,65
2020-02-16,71
2020-02-23,69
2020-03-01,75
2020-03-08,65
