date,Music_AE
2018-01-07,85
2018-01-14,77
2018-01-21,80
2018-01-28,84
2018-02-04,89
2018-02-11,77
2018-02-18,100
2018-02-25,86
2018-03-04,87
2018-03-11,78
2018-03-18,85
2018-03-25,90
2018-04-01,94
2018-04-08,86
2018-04-15,85
2018-04-22,78
2018-04-29,75
2018-05-06,72
2018-05-13,74
2018-05-20,78
2018-05-27,70
2018-06-03,79
2018-06-10,84
2018-06-17,89
2018-06-24,74
2018-07-01,77
2018-07-08,73
2018-07-15,71
2018-07-22,90
2018-07-29,79
2018-08-05,74
2018-08-12,84
2018-08-19,81
2018-08-26,75
2018-09-02,82
2018-09-09,88
2018-09-16,88
2018-09-23,88
2018-09-30,88
2018-10-07,83
2018-10-14,96
2018-10-21,91
2018-10-28,86
2018-11-04,83
2018-11-11,92
2018-11-18,91
2018-11-25,95
2018-12-02,89
2018-12-09,82
2018-12-16,85
2018-12-23,96
2018-12-30,85
2019-01-06,87
2019-01-13,90
2019-01-20,80
2019-01-27,73
2019-02-03,83
2019-02-10,82
2019-02-17,73
2019-02-24,78
2019-03-03,79
2019-03-10,83
2019-03-17,85
2019-03-24,73
2019-03-31,80
2019-04-07,77
2019-04-14,70
2019-04-21,72
2019-04-28,94
2019-05-05,74
2019-05-12,68
2019-05-19,76
2019-05-26,73
2019-06-02,71
2019-06-09,75
2019-06-16,80
2019-06-23,78
2019-06-30,71
2019-07-07,75
2019-07-14,81
2019-07-21,79
2019-07-28,76
2019-08-04,72
2019-08-11,81
2019-08-18,83
2019-08-25,92
2019-09-01,73
2019-09-08,75
2019-09-15,83
2019-09-22,81
2019-09-29,79
2019-10-06,94
2019-10-13,91
2019-10-20,81
2019-10-27,92
2019-11-03,99
2019-11-10,87
2019-11-17,87
2019-11-24,80
2019-12-01,87
2019-12-08,91
2019-12-15,92
2019-12-22,74
2019-12-29,82
2020-01-05,76
2020-01-12,83
2020-01-19,81
2020-01-26,76
2020-02-02,82
2020-02-09,76
2020-02-16,91
2020-02-23,83
2020-03-01,75
2020-03-08,71
