date,Crafts_AR
2020-03-15,17
2020-03-22,22
2020-03-29,29
2020-04-05,29
2020-04-12,27
2020-04-19,30
2020-04-26,50
2020-05-03,45
2020-05-10,33
2020-05-17,32
2020-05-24,37
2020-05-31,33
2020-06-07,22
2020-06-14,31
2020-06-21,27
2020-06-28,26
2020-07-05,23
2020-07-12,26
2020-07-19,26
2020-07-26,19
2020-08-02,30
2020-08-09,20
2020-08-16,34
2020-08-23,32
2020-08-30,23
2020-09-06,27
2020-09-13,34
2020-09-20,22
2020-09-27,41
2020-10-04,28
2020-10-11,20
2020-10-18,22
2020-10-25,25
2020-11-01,25
2020-11-08,20
2020-11-15,27
2020-11-22,23
2020-11-29,22
2020-12-06,20
2020-12-13,12
2020-12-20,10
2020-12-27,16
2021-01-03,16
2021-01-10,15
2021-01-17,17
2021-01-24,25
2021-01-31,23
2021-02-07,17
2021-02-14,24
2021-02-21,37
2021-02-28,28
2021-03-07,28
2021-03-14,32
2021-03-21,28
2021-03-28,38
2021-04-04,33
2021-04-11,25
2021-04-18,36
2021-04-25,37
2021-05-02,53
2021-05-09,41
2021-05-16,29
2021-05-23,40
2021-05-30,28
2021-06-06,35
2021-06-13,30
2021-06-20,32
2021-06-27,31
2021-07-04,22
2021-07-11,18
2021-07-18,100
2021-07-25,23
2021-08-01,29
2021-08-08,26
2021-08-15,30
2021-08-22,32
2021-08-29,30
