date,Music_AR
2018-01-07,100
2018-01-14,98
2018-01-21,98
2018-01-28,99
2018-02-04,91
2018-02-11,100
2018-02-18,92
2018-02-25,91
2018-03-04,87
2018-03-11,94
2018-03-18,92
2018-03-25,94
2018-04-01,90
2018-04-08,86
2018-04-15,93
2018-04-22,88
2018-04-29,87
2018-05-06,87
2018-05-13,87
2018-05-20,89
2018-05-27,91
2018-06-03,89
2018-06-10,78
2018-06-17,78
2018-06-24,74
2018-07-01,76
2018-07-08,90
2018-07-15,85
2018-07-22,85
2018-07-29,85
2018-08-05,86
2018-08-12,86
2018-08-19,91
2018-08-26,83
2018-09-02,84
2018-09-09,84
2018-09-16,87
2018-09-23,79
2018-09-30,86
2018-10-07,86
2018-10-14,83
2018-10-21,82
2018-10-28,77
2018-11-04,82
2018-11-11,76
2018-11-18,87
2018-11-25,72
2018-12-02,74
2018-12-09,74
2018-12-16,73
2018-12-23,87
2018-12-30,78
2019-01-06,71
2019-01-13,72
2019-01-20,74
2019-01-27,69
2019-02-03,73
2019-02-10,73
2019-02-17,68
2019-02-24,70
2019-03-03,66
2019-03-10,70
2019-03-17,75
2019-03-24,77
2019-03-31,70
2019-04-07,77
2019-04-14,74
2019-04-21,69
2019-04-28,70
2019-05-05,70
2019-05-12,71
2019-05-19,70
2019-05-26,68
2019-06-02,73
2019-06-09,74
2019-06-16,69
2019-06-23,66
2019-06-30,63
2019-07-07,68
2019-07-14,71
2019-07-21,67
2019-07-28,66
2019-08-04,69
2019-08-11,62
2019-08-18,73
2019-08-25,72
2019-09-01,71
2019-09-08,72
2019-09-15,71
2019-09-22,71
2019-09-29,66
2019-10-06,67
2019-10-13,66
2019-10-20,64
2019-10-27,65
2019-11-03,67
2019-11-10,67
2019-11-17,78
2019-11-24,68
2019-12-01,69
2019-12-08,62
2019-12-15,65
2019-12-22,70
2019-12-29,68
2020-01-05,61
2020-01-12,61
2020-01-19,61
2020-01-26,59
2020-02-02,56
2020-02-09,58
2020-02-16,58
2020-02-23,62
2020-03-01,57
2020-03-08,54
