date,Performing_Art_AR
2020-03-15,36
2020-03-22,58
2020-03-29,16
2020-04-05,48
2020-04-12,48
2020-04-19,8
2020-04-26,58
2020-05-03,48
2020-05-10,42
2020-05-17,8
2020-05-24,34
2020-05-31,81
2020-06-07,41
2020-06-14,26
2020-06-21,52
2020-06-28,34
2020-07-05,19
2020-07-12,76
2020-07-19,19
2020-07-26,38
2020-08-02,53
2020-08-09,27
2020-08-16,67
2020-08-23,45
2020-08-30,73
2020-09-06,46
2020-09-13,55
2020-09-20,38
2020-09-27,74
2020-10-04,9
2020-10-11,20
2020-10-18,19
2020-10-25,39
2020-11-01,57
2020-11-08,66
2020-11-15,28
2020-11-22,19
2020-11-29,38
2020-12-06,63
2020-12-13,70
2020-12-20,48
2020-12-27,23
2021-01-03,20
2021-01-10,21
2021-01-17,11
2021-01-24,53
2021-01-31,11
2021-02-07,51
2021-02-14,42
2021-02-21,10
2021-02-28,80
2021-03-07,41
2021-03-14,56
2021-03-21,40
2021-03-28,42
2021-04-04,46
2021-04-11,57
2021-04-18,61
2021-04-25,45
2021-05-02,27
2021-05-09,100
2021-05-16,53
2021-05-23,38
2021-05-30,52
2021-06-06,71
2021-06-13,36
2021-06-20,28
2021-06-27,54
2021-07-04,0
2021-07-11,47
2021-07-18,31
2021-07-25,39
2021-08-01,39
2021-08-08,49
2021-08-15,39
2021-08-22,52
2021-08-29,30
