date,Pets_AR
2018-01-07,82
2018-01-14,74
2018-01-21,78
2018-01-28,76
2018-02-04,62
2018-02-11,57
2018-02-18,68
2018-02-25,65
2018-03-04,55
2018-03-11,60
2018-03-18,56
2018-03-25,61
2018-04-01,61
2018-04-08,54
2018-04-15,57
2018-04-22,64
2018-04-29,80
2018-05-06,69
2018-05-13,59
2018-05-20,81
2018-05-27,67
2018-06-03,79
2018-06-10,85
2018-06-17,70
2018-06-24,77
2018-07-01,71
2018-07-08,67
2018-07-15,73
2018-07-22,77
2018-07-29,73
2018-08-05,66
2018-08-12,67
2018-08-19,77
2018-08-26,54
2018-09-02,67
2018-09-09,66
2018-09-16,79
2018-09-23,63
2018-09-30,58
2018-10-07,75
2018-10-14,63
2018-10-21,70
2018-10-28,70
2018-11-04,64
2018-11-11,66
2018-11-18,67
2018-11-25,79
2018-12-02,75
2018-12-09,68
2018-12-16,85
2018-12-23,99
2018-12-30,82
2019-01-06,85
2019-01-13,68
2019-01-20,75
2019-01-27,91
2019-02-03,82
2019-02-10,84
2019-02-17,88
2019-02-24,68
2019-03-03,59
2019-03-10,67
2019-03-17,72
2019-03-24,74
2019-03-31,75
2019-04-07,69
2019-04-14,69
2019-04-21,67
2019-04-28,72
2019-05-05,65
2019-05-12,55
2019-05-19,66
2019-05-26,65
2019-06-02,73
2019-06-09,60
2019-06-16,57
2019-06-23,65
2019-06-30,96
2019-07-07,87
2019-07-14,77
2019-07-21,81
2019-07-28,77
2019-08-04,89
2019-08-11,78
2019-08-18,80
2019-08-25,66
2019-09-01,82
2019-09-08,78
2019-09-15,76
2019-09-22,80
2019-09-29,73
2019-10-06,71
2019-10-13,55
2019-10-20,70
2019-10-27,49
2019-11-03,77
2019-11-10,76
2019-11-17,79
2019-11-24,77
2019-12-01,69
2019-12-08,77
2019-12-15,67
2019-12-22,89
2019-12-29,100
2020-01-05,83
2020-01-12,91
2020-01-19,98
2020-01-26,78
2020-02-02,70
2020-02-09,82
2020-02-16,81
2020-02-23,76
2020-03-01,72
2020-03-08,72
