date,Collecting_AU
2020-03-15,74
2020-03-22,59
2020-03-29,42
2020-04-05,72
2020-04-12,79
2020-04-19,52
2020-04-26,100
2020-05-03,57
2020-05-10,54
2020-05-17,68
2020-05-24,71
2020-05-31,77
2020-06-07,66
2020-06-14,82
2020-06-21,76
2020-06-28,77
2020-07-05,64
2020-07-12,58
2020-07-19,44
2020-07-26,58
2020-08-02,53
2020-08-09,65
2020-08-16,74
2020-08-23,84
2020-08-30,73
2020-09-06,70
2020-09-13,72
2020-09-20,94
2020-09-27,43
2020-10-04,74
2020-10-11,68
2020-10-18,76
2020-10-25,57
2020-11-01,82
2020-11-08,82
2020-11-15,78
2020-11-22,82
2020-11-29,69
2020-12-06,73
2020-12-13,83
2020-12-20,64
2020-12-27,50
2021-01-03,90
2021-01-10,63
2021-01-17,62
2021-01-24,80
2021-01-31,75
2021-02-07,48
2021-02-14,78
2021-02-21,61
2021-02-28,73
2021-03-07,67
2021-03-14,57
2021-03-21,74
2021-03-28,64
2021-04-04,36
2021-04-11,64
2021-04-18,75
2021-04-25,74
2021-05-02,49
2021-05-09,93
2021-05-16,95
2021-05-23,69
2021-05-30,84
2021-06-06,74
2021-06-13,70
2021-06-20,78
2021-06-27,61
2021-07-04,97
2021-07-11,74
2021-07-18,61
2021-07-25,58
2021-08-01,53
2021-08-08,85
2021-08-15,59
2021-08-22,75
2021-08-29,70
