date,Game_AU
2018-01-07,50
2018-01-14,49
2018-01-21,51
2018-01-28,53
2018-02-04,58
2018-02-11,60
2018-02-18,66
2018-02-25,62
2018-03-04,64
2018-03-11,66
2018-03-18,71
2018-03-25,70
2018-04-01,80
2018-04-08,87
2018-04-15,61
2018-04-22,59
2018-04-29,66
2018-05-06,64
2018-05-13,70
2018-05-20,68
2018-05-27,75
2018-06-03,85
2018-06-10,77
2018-06-17,89
2018-06-24,100
2018-07-01,73
2018-07-08,74
2018-07-15,58
2018-07-22,63
2018-07-29,69
2018-08-05,66
2018-08-12,67
2018-08-19,66
2018-08-26,68
2018-09-02,76
2018-09-09,66
2018-09-16,69
2018-09-23,60
2018-09-30,51
2018-10-07,49
2018-10-14,60
2018-10-21,59
2018-10-28,65
2018-11-04,62
2018-11-11,62
2018-11-18,66
2018-11-25,63
2018-12-02,69
2018-12-09,66
2018-12-16,60
2018-12-23,56
2018-12-30,49
2019-01-06,46
2019-01-13,45
2019-01-20,44
2019-01-27,48
2019-02-03,52
2019-02-10,55
2019-02-17,56
2019-02-24,57
2019-03-03,58
2019-03-10,58
2019-03-17,61
2019-03-24,66
2019-03-31,68
2019-04-07,63
2019-04-14,54
2019-04-21,64
2019-04-28,61
2019-05-05,63
2019-05-12,64
2019-05-19,65
2019-05-26,69
2019-06-02,80
2019-06-09,75
2019-06-16,79
2019-06-23,99
2019-06-30,69
2019-07-07,79
2019-07-14,59
2019-07-21,62
2019-07-28,63
2019-08-04,66
2019-08-11,66
2019-08-18,63
2019-08-25,63
2019-09-01,65
2019-09-08,64
2019-09-15,66
2019-09-22,64
2019-09-29,47
2019-10-06,49
2019-10-13,57
2019-10-20,55
2019-10-27,58
2019-11-03,59
2019-11-10,58
2019-11-17,60
2019-11-24,60
2019-12-01,67
2019-12-08,64
2019-12-15,61
2019-12-22,59
2019-12-29,48
2020-01-05,47
2020-01-12,47
2020-01-19,45
2020-01-26,52
2020-02-02,55
2020-02-09,58
2020-02-16,63
2020-02-23,59
2020-03-01,60
2020-03-08,60
