date,Learning_AU
2020-03-15,66
2020-03-22,88
2020-03-29,89
2020-04-05,82
2020-04-12,79
2020-04-19,100
2020-04-26,91
2020-05-03,86
2020-05-10,79
2020-05-17,80
2020-05-24,73
2020-05-31,68
2020-06-07,68
2020-06-14,67
2020-06-21,61
2020-06-28,59
2020-07-05,55
2020-07-12,58
2020-07-19,69
2020-07-26,63
2020-08-02,68
2020-08-09,73
2020-08-16,68
2020-08-23,69
2020-08-30,67
2020-09-06,64
2020-09-13,61
2020-09-20,61
2020-09-27,54
2020-10-04,57
2020-10-11,55
2020-10-18,53
2020-10-25,55
2020-11-01,47
2020-11-08,56
2020-11-15,51
2020-11-22,48
2020-11-29,44
2020-12-06,42
2020-12-13,43
2020-12-20,34
2020-12-27,41
2021-01-03,49
2021-01-10,44
2021-01-17,51
2021-01-24,51
2021-01-31,58
2021-02-07,57
2021-02-14,60
2021-02-21,61
2021-02-28,59
2021-03-07,55
2021-03-14,58
2021-03-21,57
2021-03-28,50
2021-04-04,51
2021-04-11,56
2021-04-18,57
2021-04-25,59
2021-05-02,56
2021-05-09,62
2021-05-16,59
2021-05-23,61
2021-05-30,61
2021-06-06,56
2021-06-13,56
2021-06-20,56
2021-06-27,51
2021-07-04,49
2021-07-11,58
2021-07-18,60
2021-07-25,60
2021-08-01,63
2021-08-08,61
2021-08-15,57
2021-08-22,54
2021-08-29,54
