date,Pets_AU
2020-03-15,73
2020-03-22,79
2020-03-29,85
2020-04-05,90
2020-04-12,88
2020-04-19,85
2020-04-26,90
2020-05-03,88
2020-05-10,89
2020-05-17,100
2020-05-24,84
2020-05-31,89
2020-06-07,95
2020-06-14,88
2020-06-21,91
2020-06-28,88
2020-07-05,90
2020-07-12,87
2020-07-19,86
2020-07-26,86
2020-08-02,86
2020-08-09,85
2020-08-16,87
2020-08-23,85
2020-08-30,86
2020-09-06,89
2020-09-13,88
2020-09-20,89
2020-09-27,93
2020-10-04,91
2020-10-11,88
2020-10-18,87
2020-10-25,86
2020-11-01,82
2020-11-08,85
2020-11-15,90
2020-11-22,98
2020-11-29,88
2020-12-06,98
2020-12-13,93
2020-12-20,89
2020-12-27,96
2021-01-03,92
2021-01-10,95
2021-01-17,94
2021-01-24,85
2021-01-31,78
2021-02-07,83
2021-02-14,81
2021-02-21,75
2021-02-28,86
2021-03-07,82
2021-03-14,85
2021-03-21,81
2021-03-28,86
2021-04-04,96
2021-04-11,91
2021-04-18,71
2021-04-25,84
2021-05-02,78
2021-05-09,74
2021-05-16,86
2021-05-23,76
2021-05-30,81
2021-06-06,86
2021-06-13,85
2021-06-20,79
2021-06-27,84
2021-07-04,88
2021-07-11,82
2021-07-18,80
2021-07-25,82
2021-08-01,76
2021-08-08,87
2021-08-15,89
2021-08-22,90
2021-08-29,87
