date,Arts_AT
2018-01-07,69
2018-01-14,70
2018-01-21,67
2018-01-28,51
2018-02-04,64
2018-02-11,54
2018-02-18,55
2018-02-25,53
2018-03-04,64
2018-03-11,68
2018-03-18,60
2018-03-25,52
2018-04-01,61
2018-04-08,48
2018-04-15,69
2018-04-22,61
2018-04-29,48
2018-05-06,58
2018-05-13,52
2018-05-20,57
2018-05-27,65
2018-06-03,55
2018-06-10,59
2018-06-17,56
2018-06-24,59
2018-07-01,35
2018-07-08,44
2018-07-15,59
2018-07-22,50
2018-07-29,61
2018-08-05,37
2018-08-12,57
2018-08-19,58
2018-08-26,47
2018-09-02,63
2018-09-09,54
2018-09-16,63
2018-09-23,63
2018-09-30,75
2018-10-07,67
2018-10-14,58
2018-10-21,69
2018-10-28,63
2018-11-04,68
2018-11-11,68
2018-11-18,81
2018-11-25,61
2018-12-02,69
2018-12-09,65
2018-12-16,53
2018-12-23,42
2018-12-30,62
2019-01-06,63
2019-01-13,73
2019-01-20,66
2019-01-27,80
2019-02-03,80
2019-02-10,85
2019-02-17,74
2019-02-24,99
2019-03-03,92
2019-03-10,100
2019-03-17,77
2019-03-24,87
2019-03-31,66
2019-04-07,60
2019-04-14,59
2019-04-21,66
2019-04-28,66
2019-05-05,64
2019-05-12,58
2019-05-19,52
2019-05-26,58
2019-06-02,56
2019-06-09,51
2019-06-16,64
2019-06-23,59
2019-06-30,48
2019-07-07,57
2019-07-14,58
2019-07-21,56
2019-07-28,42
2019-08-04,50
2019-08-11,57
2019-08-18,71
2019-08-25,61
2019-09-01,50
2019-09-08,55
2019-09-15,58
2019-09-22,62
2019-09-29,55
2019-10-06,59
2019-10-13,68
2019-10-20,75
2019-10-27,70
2019-11-03,66
2019-11-10,71
2019-11-17,68
2019-11-24,64
2019-12-01,53
2019-12-08,60
2019-12-15,57
2019-12-22,60
2019-12-29,56
2020-01-05,63
2020-01-12,51
2020-01-19,63
2020-01-26,63
2020-02-02,47
2020-02-09,56
2020-02-16,57
2020-02-23,51
2020-03-01,58
2020-03-08,44
