date,Cooking_AT
2018-01-07,63
2018-01-14,49
2018-01-21,53
2018-01-28,54
2018-02-04,53
2018-02-11,59
2018-02-18,57
2018-02-25,64
2018-03-04,52
2018-03-11,65
2018-03-18,57
2018-03-25,90
2018-04-01,67
2018-04-08,41
2018-04-15,60
2018-04-22,53
2018-04-29,54
2018-05-06,52
2018-05-13,58
2018-05-20,60
2018-05-27,45
2018-06-03,47
2018-06-10,45
2018-06-17,38
2018-06-24,43
2018-07-01,39
2018-07-08,51
2018-07-15,48
2018-07-22,53
2018-07-29,52
2018-08-05,49
2018-08-12,62
2018-08-19,46
2018-08-26,68
2018-09-02,59
2018-09-09,50
2018-09-16,57
2018-09-23,50
2018-09-30,58
2018-10-07,63
2018-10-14,63
2018-10-21,70
2018-10-28,70
2018-11-04,69
2018-11-11,68
2018-11-18,62
2018-11-25,54
2018-12-02,61
2018-12-09,51
2018-12-16,53
2018-12-23,58
2018-12-30,79
2019-01-06,63
2019-01-13,69
2019-01-20,56
2019-01-27,67
2019-02-03,62
2019-02-10,60
2019-02-17,57
2019-02-24,51
2019-03-03,52
2019-03-10,71
2019-03-17,53
2019-03-24,54
2019-03-31,60
2019-04-07,57
2019-04-14,100
2019-04-21,59
2019-04-28,67
2019-05-05,68
2019-05-12,65
2019-05-19,61
2019-05-26,58
2019-06-02,44
2019-06-09,48
2019-06-16,45
2019-06-23,36
2019-06-30,44
2019-07-07,61
2019-07-14,47
2019-07-21,47
2019-07-28,51
2019-08-04,57
2019-08-11,61
2019-08-18,50
2019-08-25,51
2019-09-01,54
2019-09-08,57
2019-09-15,57
2019-09-22,53
2019-09-29,50
2019-10-06,57
2019-10-13,66
2019-10-20,68
2019-10-27,62
2019-11-03,73
2019-11-10,63
2019-11-17,66
2019-11-24,62
2019-12-01,47
2019-12-08,60
2019-12-15,61
2019-12-22,69
2019-12-29,68
2020-01-05,56
2020-01-12,67
2020-01-19,69
2020-01-26,61
2020-02-02,61
2020-02-09,72
2020-02-16,54
2020-02-23,65
2020-03-01,64
2020-03-08,65
