date,Game_AT
2020-03-15,55
2020-03-22,61
2020-03-29,54
2020-04-05,50
2020-04-12,49
2020-04-19,48
2020-04-26,46
2020-05-03,46
2020-05-10,46
2020-05-17,41
2020-05-24,44
2020-05-31,43
2020-06-07,43
2020-06-14,43
2020-06-21,43
2020-06-28,43
2020-07-05,39
2020-07-12,43
2020-07-19,38
2020-07-26,38
2020-08-02,40
2020-08-09,41
2020-08-16,41
2020-08-23,40
2020-08-30,42
2020-09-06,43
2020-09-13,42
2020-09-20,40
2020-09-27,45
2020-10-04,44
2020-10-11,42
2020-10-18,47
2020-10-25,52
2020-11-01,46
2020-11-08,49
2020-11-15,57
2020-11-22,56
2020-11-29,52
2020-12-06,58
2020-12-13,54
2020-12-20,63
2020-12-27,62
2021-01-03,55
2021-01-10,48
2021-01-17,50
2021-01-24,50
2021-01-31,54
2021-02-07,51
2021-02-14,51
2021-02-21,45
2021-02-28,44
2021-03-07,44
2021-03-14,47
2021-03-21,48
2021-03-28,47
2021-04-04,45
2021-04-11,46
2021-04-18,43
2021-04-25,44
2021-05-02,46
2021-05-09,48
2021-05-16,43
2021-05-23,47
2021-05-30,44
2021-06-06,54
2021-06-13,97
2021-06-20,100
2021-06-27,99
2021-07-04,60
2021-07-11,46
2021-07-18,43
2021-07-25,49
2021-08-01,50
2021-08-08,46
2021-08-15,42
2021-08-22,53
2021-08-29,52
