date,Pets_AT
2018-01-07,31
2018-01-14,46
2018-01-21,59
2018-01-28,37
2018-02-04,51
2018-02-11,55
2018-02-18,54
2018-02-25,52
2018-03-04,49
2018-03-11,40
2018-03-18,43
2018-03-25,52
2018-04-01,65
2018-04-08,49
2018-04-15,36
2018-04-22,46
2018-04-29,20
2018-05-06,34
2018-05-13,22
2018-05-20,33
2018-05-27,70
2018-06-03,45
2018-06-10,25
2018-06-17,28
2018-06-24,25
2018-07-01,32
2018-07-08,36
2018-07-15,40
2018-07-22,46
2018-07-29,34
2018-08-05,49
2018-08-12,44
2018-08-19,42
2018-08-26,55
2018-09-02,52
2018-09-09,52
2018-09-16,32
2018-09-23,39
2018-09-30,45
2018-10-07,58
2018-10-14,39
2018-10-21,59
2018-10-28,19
2018-11-04,38
2018-11-11,55
2018-11-18,43
2018-11-25,38
2018-12-02,53
2018-12-09,31
2018-12-16,58
2018-12-23,61
2018-12-30,35
2019-01-06,70
2019-01-13,38
2019-01-20,52
2019-01-27,55
2019-02-03,53
2019-02-10,86
2019-02-17,70
2019-02-24,85
2019-03-03,100
2019-03-10,75
2019-03-17,90
2019-03-24,91
2019-03-31,56
2019-04-07,69
2019-04-14,33
2019-04-21,42
2019-04-28,51
2019-05-05,44
2019-05-12,41
2019-05-19,30
2019-05-26,41
2019-06-02,46
2019-06-09,22
2019-06-16,58
2019-06-23,59
2019-06-30,62
2019-07-07,54
2019-07-14,48
2019-07-21,55
2019-07-28,76
2019-08-04,45
2019-08-11,41
2019-08-18,48
2019-08-25,86
2019-09-01,53
2019-09-08,58
2019-09-15,64
2019-09-22,47
2019-09-29,48
2019-10-06,60
2019-10-13,50
2019-10-20,66
2019-10-27,29
2019-11-03,48
2019-11-10,42
2019-11-17,42
2019-11-24,28
2019-12-01,28
2019-12-08,40
2019-12-15,35
2019-12-22,60
2019-12-29,38
2020-01-05,54
2020-01-12,41
2020-01-19,34
2020-01-26,36
2020-02-02,42
2020-02-09,64
2020-02-16,48
2020-02-23,66
2020-03-01,52
2020-03-08,56
