date,Sports_AT
2018-01-07,64
2018-01-14,62
2018-01-21,64
2018-01-28,53
2018-02-04,54
2018-02-11,100
2018-02-18,83
2018-02-25,54
2018-03-04,59
2018-03-11,64
2018-03-18,47
2018-03-25,43
2018-04-01,56
2018-04-08,58
2018-04-15,54
2018-04-22,52
2018-04-29,55
2018-05-06,47
2018-05-13,48
2018-05-20,47
2018-05-27,56
2018-06-03,54
2018-06-10,64
2018-06-17,74
2018-06-24,66
2018-07-01,71
2018-07-08,48
2018-07-15,42
2018-07-22,46
2018-07-29,53
2018-08-05,47
2018-08-12,54
2018-08-19,52
2018-08-26,57
2018-09-02,55
2018-09-09,43
2018-09-16,62
2018-09-23,52
2018-09-30,52
2018-10-07,45
2018-10-14,43
2018-10-21,48
2018-10-28,51
2018-11-04,51
2018-11-11,54
2018-11-18,51
2018-11-25,54
2018-12-02,51
2018-12-09,53
2018-12-16,75
2018-12-23,47
2018-12-30,54
2019-01-06,58
2019-01-13,67
2019-01-20,77
2019-01-27,69
2019-02-03,82
2019-02-10,97
2019-02-17,80
2019-02-24,72
2019-03-03,57
2019-03-10,72
2019-03-17,64
2019-03-24,53
2019-03-31,53
2019-04-07,52
2019-04-14,57
2019-04-21,57
2019-04-28,50
2019-05-05,59
2019-05-12,52
2019-05-19,48
2019-05-26,50
2019-06-02,64
2019-06-09,60
2019-06-16,43
2019-06-23,49
2019-06-30,51
2019-07-07,47
2019-07-14,47
2019-07-21,49
2019-07-28,50
2019-08-04,54
2019-08-11,54
2019-08-18,49
2019-08-25,59
2019-09-01,57
2019-09-08,58
2019-09-15,65
2019-09-22,55
2019-09-29,62
2019-10-06,53
2019-10-13,54
2019-10-20,67
2019-10-27,64
2019-11-03,63
2019-11-10,58
2019-11-17,58
2019-11-24,61
2019-12-01,61
2019-12-08,61
2019-12-15,60
2019-12-22,51
2019-12-29,61
2020-01-05,61
2020-01-12,64
2020-01-19,72
2020-01-26,77
2020-02-02,61
2020-02-09,65
2020-02-16,69
2020-02-23,60
2020-03-01,61
2020-03-08,51
