date,Cooking_BE
2020-03-15,66
2020-03-22,71
2020-03-29,78
2020-04-05,87
2020-04-12,84
2020-04-19,89
2020-04-26,89
2020-05-03,83
2020-05-10,86
2020-05-17,73
2020-05-24,70
2020-05-31,58
2020-06-07,57
2020-06-14,48
2020-06-21,55
2020-06-28,50
2020-07-05,46
2020-07-12,48
2020-07-19,56
2020-07-26,54
2020-08-02,59
2020-08-09,42
2020-08-16,45
2020-08-23,50
2020-08-30,53
2020-09-06,53
2020-09-13,56
2020-09-20,54
2020-09-27,54
2020-10-04,51
2020-10-11,54
2020-10-18,57
2020-10-25,50
2020-11-01,67
2020-11-08,70
2020-11-15,58
2020-11-22,69
2020-11-29,63
2020-12-06,62
2020-12-13,72
2020-12-20,100
2020-12-27,82
2021-01-03,65
2021-01-10,62
2021-01-17,51
2021-01-24,54
2021-01-31,60
2021-02-07,61
2021-02-14,59
2021-02-21,61
2021-02-28,54
2021-03-07,52
2021-03-14,65
2021-03-21,57
2021-03-28,62
2021-04-04,84
2021-04-11,66
2021-04-18,66
2021-04-25,57
2021-05-02,59
2021-05-09,58
2021-05-16,62
2021-05-23,58
2021-05-30,56
2021-06-06,51
2021-06-13,41
2021-06-20,42
2021-06-27,36
2021-07-04,45
2021-07-11,40
2021-07-18,46
2021-07-25,45
2021-08-01,51
2021-08-08,53
2021-08-15,54
2021-08-22,42
2021-08-29,47
