date,Crafts_BE
2018-01-07,56
2018-01-14,68
2018-01-21,62
2018-01-28,61
2018-02-04,66
2018-02-11,48
2018-02-18,45
2018-02-25,70
2018-03-04,70
2018-03-11,63
2018-03-18,65
2018-03-25,72
2018-04-01,41
2018-04-08,46
2018-04-15,40
2018-04-22,56
2018-04-29,44
2018-05-06,51
2018-05-13,50
2018-05-20,100
2018-05-27,61
2018-06-03,63
2018-06-10,57
2018-06-17,51
2018-06-24,53
2018-07-01,61
2018-07-08,56
2018-07-15,46
2018-07-22,42
2018-07-29,40
2018-08-05,58
2018-08-12,53
2018-08-19,52
2018-08-26,57
2018-09-02,72
2018-09-09,74
2018-09-16,46
2018-09-23,60
2018-09-30,76
2018-10-07,42
2018-10-14,46
2018-10-21,73
2018-10-28,66
2018-11-04,40
2018-11-11,68
2018-11-18,69
2018-11-25,48
2018-12-02,45
2018-12-09,60
2018-12-16,50
2018-12-23,54
2018-12-30,54
2019-01-06,30
2019-01-13,66
2019-01-20,67
2019-01-27,64
2019-02-03,47
2019-02-10,73
2019-02-17,63
2019-02-24,55
2019-03-03,69
2019-03-10,66
2019-03-17,68
2019-03-24,81
2019-03-31,60
2019-04-07,46
2019-04-14,52
2019-04-21,44
2019-04-28,48
2019-05-05,64
2019-05-12,58
2019-05-19,45
2019-05-26,52
2019-06-02,52
2019-06-09,50
2019-06-16,67
2019-06-23,44
2019-06-30,43
2019-07-07,49
2019-07-14,44
2019-07-21,34
2019-07-28,36
2019-08-04,47
2019-08-11,50
2019-08-18,78
2019-08-25,63
2019-09-01,66
2019-09-08,55
2019-09-15,72
2019-09-22,72
2019-09-29,60
2019-10-06,62
2019-10-13,51
2019-10-20,39
2019-10-27,71
2019-11-03,66
2019-11-10,82
2019-11-17,79
2019-11-24,59
2019-12-01,64
2019-12-08,60
2019-12-15,53
2019-12-22,51
2019-12-29,69
2020-01-05,58
2020-01-12,68
2020-01-19,74
2020-01-26,50
2020-02-02,52
2020-02-09,72
2020-02-16,51
2020-02-23,49
2020-03-01,55
2020-03-08,52
