date,Game_BE
2018-01-07,80
2018-01-14,84
2018-01-21,84
2018-01-28,87
2018-02-04,86
2018-02-11,97
2018-02-18,84
2018-02-25,83
2018-03-04,87
2018-03-11,78
2018-03-18,80
2018-03-25,83
2018-04-01,84
2018-04-08,84
2018-04-15,68
2018-04-22,75
2018-04-29,78
2018-05-06,66
2018-05-13,71
2018-05-20,66
2018-05-27,66
2018-06-03,70
2018-06-10,69
2018-06-17,79
2018-06-24,78
2018-07-01,74
2018-07-08,77
2018-07-15,76
2018-07-22,69
2018-07-29,75
2018-08-05,71
2018-08-12,79
2018-08-19,69
2018-08-26,75
2018-09-02,65
2018-09-09,71
2018-09-16,69
2018-09-23,72
2018-09-30,74
2018-10-07,76
2018-10-14,65
2018-10-21,77
2018-10-28,92
2018-11-04,78
2018-11-11,83
2018-11-18,82
2018-11-25,89
2018-12-02,85
2018-12-09,78
2018-12-16,88
2018-12-23,97
2018-12-30,90
2019-01-06,71
2019-01-13,69
2019-01-20,69
2019-01-27,68
2019-02-03,71
2019-02-10,74
2019-02-17,67
2019-02-24,68
2019-03-03,77
2019-03-10,66
2019-03-17,70
2019-03-24,71
2019-03-31,70
2019-04-07,72
2019-04-14,74
2019-04-21,65
2019-04-28,70
2019-05-05,65
2019-05-12,61
2019-05-19,65
2019-05-26,69
2019-06-02,70
2019-06-09,66
2019-06-16,65
2019-06-23,69
2019-06-30,71
2019-07-07,71
2019-07-14,71
2019-07-21,65
2019-07-28,72
2019-08-04,69
2019-08-11,74
2019-08-18,64
2019-08-25,68
2019-09-01,65
2019-09-08,68
2019-09-15,67
2019-09-22,70
2019-09-29,69
2019-10-06,75
2019-10-13,76
2019-10-20,75
2019-10-27,87
2019-11-03,74
2019-11-10,83
2019-11-17,78
2019-11-24,84
2019-12-01,84
2019-12-08,77
2019-12-15,92
2019-12-22,100
2019-12-29,82
2020-01-05,70
2020-01-12,73
2020-01-19,73
2020-01-26,74
2020-02-02,72
2020-02-09,75
2020-02-16,77
2020-02-23,81
2020-03-01,73
2020-03-08,74
