date,Learning_BE
2020-03-15,82
2020-03-22,59
2020-03-29,100
2020-04-05,68
2020-04-12,87
2020-04-19,86
2020-04-26,78
2020-05-03,64
2020-05-10,72
2020-05-17,42
2020-05-24,62
2020-05-31,73
2020-06-07,93
2020-06-14,54
2020-06-21,67
2020-06-28,52
2020-07-05,58
2020-07-12,61
2020-07-19,65
2020-07-26,65
2020-08-02,54
2020-08-09,52
2020-08-16,41
2020-08-23,80
2020-08-30,54
2020-09-06,86
2020-09-13,69
2020-09-20,62
2020-09-27,77
2020-10-04,87
2020-10-11,68
2020-10-18,73
2020-10-25,62
2020-11-01,83
2020-11-08,54
2020-11-15,77
2020-11-22,82
2020-11-29,72
2020-12-06,79
2020-12-13,58
2020-12-20,63
2020-12-27,53
2021-01-03,79
2021-01-10,92
2021-01-17,58
2021-01-24,90
2021-01-31,59
2021-02-07,52
2021-02-14,69
2021-02-21,73
2021-02-28,58
2021-03-07,70
2021-03-14,84
2021-03-21,79
2021-03-28,68
2021-04-04,58
2021-04-11,69
2021-04-18,74
2021-04-25,63
2021-05-02,71
2021-05-09,64
2021-05-16,61
2021-05-23,47
2021-05-30,77
2021-06-06,66
2021-06-13,49
2021-06-20,50
2021-06-27,42
2021-07-04,68
2021-07-11,59
2021-07-18,33
2021-07-25,39
2021-08-01,45
2021-08-08,56
2021-08-15,51
2021-08-22,58
2021-08-29,46
