date,Pets_BE
2020-03-15,66
2020-03-22,43
2020-03-29,61
2020-04-05,71
2020-04-12,94
2020-04-19,58
2020-04-26,68
2020-05-03,43
2020-05-10,53
2020-05-17,82
2020-05-24,75
2020-05-31,49
2020-06-07,67
2020-06-14,38
2020-06-21,70
2020-06-28,60
2020-07-05,56
2020-07-12,57
2020-07-19,91
2020-07-26,55
2020-08-02,46
2020-08-09,60
2020-08-16,53
2020-08-23,58
2020-08-30,64
2020-09-06,55
2020-09-13,41
2020-09-20,62
2020-09-27,44
2020-10-04,71
2020-10-11,52
2020-10-18,58
2020-10-25,56
2020-11-01,61
2020-11-08,75
2020-11-15,56
2020-11-22,59
2020-11-29,69
2020-12-06,74
2020-12-13,78
2020-12-20,63
2020-12-27,48
2021-01-03,58
2021-01-10,57
2021-01-17,70
2021-01-24,63
2021-01-31,89
2021-02-07,59
2021-02-14,74
2021-02-21,82
2021-02-28,71
2021-03-07,52
2021-03-14,62
2021-03-21,63
2021-03-28,64
2021-04-04,100
2021-04-11,67
2021-04-18,48
2021-04-25,48
2021-05-02,78
2021-05-09,44
2021-05-16,39
2021-05-23,61
2021-05-30,60
2021-06-06,51
2021-06-13,67
2021-06-20,53
2021-06-27,43
2021-07-04,43
2021-07-11,62
2021-07-18,91
2021-07-25,44
2021-08-01,62
2021-08-08,87
2021-08-15,61
2021-08-22,60
2021-08-29,39
