date,Sports_BE
2018-01-07,74
2018-01-14,72
2018-01-21,83
2018-01-28,85
2018-02-04,76
2018-02-11,85
2018-02-18,82
2018-02-25,82
2018-03-04,77
2018-03-11,84
2018-03-18,71
2018-03-25,73
2018-04-01,88
2018-04-08,86
2018-04-15,86
2018-04-22,82
2018-04-29,80
2018-05-06,83
2018-05-13,76
2018-05-20,77
2018-05-27,80
2018-06-03,79
2018-06-10,77
2018-06-17,92
2018-06-24,99
2018-07-01,100
2018-07-08,87
2018-07-15,78
2018-07-22,82
2018-07-29,78
2018-08-05,86
2018-08-12,89
2018-08-19,83
2018-08-26,88
2018-09-02,83
2018-09-09,90
2018-09-16,89
2018-09-23,84
2018-09-30,79
2018-10-07,85
2018-10-14,71
2018-10-21,75
2018-10-28,85
2018-11-04,74
2018-11-11,72
2018-11-18,68
2018-11-25,70
2018-12-02,65
2018-12-09,70
2018-12-16,74
2018-12-23,66
2018-12-30,63
2019-01-06,71
2019-01-13,67
2019-01-20,78
2019-01-27,76
2019-02-03,74
2019-02-10,73
2019-02-17,87
2019-02-24,71
2019-03-03,80
2019-03-10,76
2019-03-17,77
2019-03-24,67
2019-03-31,73
2019-04-07,90
2019-04-14,80
2019-04-21,72
2019-04-28,71
2019-05-05,76
2019-05-12,68
2019-05-19,67
2019-05-26,76
2019-06-02,74
2019-06-09,74
2019-06-16,67
2019-06-23,78
2019-06-30,80
2019-07-07,83
2019-07-14,81
2019-07-21,82
2019-07-28,75
2019-08-04,91
2019-08-11,83
2019-08-18,87
2019-08-25,85
2019-09-01,96
2019-09-08,85
2019-09-15,92
2019-09-22,91
2019-09-29,96
2019-10-06,82
2019-10-13,82
2019-10-20,87
2019-10-27,84
2019-11-03,85
2019-11-10,93
2019-11-17,77
2019-11-24,82
2019-12-01,82
2019-12-08,81
2019-12-15,80
2019-12-22,83
2019-12-29,70
2020-01-05,85
2020-01-12,79
2020-01-19,90
2020-01-26,91
2020-02-02,90
2020-02-09,89
2020-02-16,94
2020-02-23,83
2020-03-01,79
2020-03-08,78
