date,Pets_BD
2018-01-07,50
2018-01-14,69
2018-01-21,100
2018-01-28,46
2018-02-04,37
2018-02-11,42
2018-02-18,68
2018-02-25,47
2018-03-04,85
2018-03-11,63
2018-03-18,60
2018-03-25,52
2018-04-01,63
2018-04-08,45
2018-04-15,45
2018-04-22,38
2018-04-29,65
2018-05-06,62
2018-05-13,26
2018-05-20,54
2018-05-27,27
2018-06-03,34
2018-06-10,36
2018-06-17,24
2018-06-24,34
2018-07-01,26
2018-07-08,43
2018-07-15,43
2018-07-22,40
2018-07-29,28
2018-08-05,44
2018-08-12,45
2018-08-19,37
2018-08-26,41
2018-09-02,33
2018-09-09,25
2018-09-16,39
2018-09-23,56
2018-09-30,53
2018-10-07,39
2018-10-14,34
2018-10-21,57
2018-10-28,25
2018-11-04,51
2018-11-11,44
2018-11-18,30
2018-11-25,23
2018-12-02,48
2018-12-09,36
2018-12-16,59
2018-12-23,45
2018-12-30,34
2019-01-06,54
2019-01-13,24
2019-01-20,16
2019-01-27,50
2019-02-03,33
2019-02-10,47
2019-02-17,38
2019-02-24,32
2019-03-03,35
2019-03-10,51
2019-03-17,54
2019-03-24,54
2019-03-31,24
2019-04-07,68
2019-04-14,54
2019-04-21,26
2019-04-28,41
2019-05-05,44
2019-05-12,38
2019-05-19,49
2019-05-26,31
2019-06-02,27
2019-06-09,44
2019-06-16,29
2019-06-23,30
2019-06-30,25
2019-07-07,49
2019-07-14,31
2019-07-21,37
2019-07-28,38
2019-08-04,51
2019-08-11,30
2019-08-18,46
2019-08-25,70
2019-09-01,30
2019-09-08,48
2019-09-15,50
2019-09-22,53
2019-09-29,46
2019-10-06,40
2019-10-13,45
2019-10-20,44
2019-10-27,38
2019-11-03,40
2019-11-10,53
2019-11-17,43
2019-11-24,45
2019-12-01,57
2019-12-08,66
2019-12-15,43
2019-12-22,53
2019-12-29,55
2020-01-05,34
2020-01-12,63
2020-01-19,67
2020-01-26,58
2020-02-02,44
2020-02-09,41
2020-02-16,55
2020-02-23,33
2020-03-01,56
2020-03-08,49
