date,Sports_BD
2020-03-15,12
2020-03-22,11
2020-03-29,10
2020-04-05,9
2020-04-12,7
2020-04-19,7
2020-04-26,8
2020-05-03,10
2020-05-10,9
2020-05-17,9
2020-05-24,10
2020-05-31,8
2020-06-07,9
2020-06-14,12
2020-06-21,19
2020-06-28,17
2020-07-05,19
2020-07-12,23
2020-07-19,19
2020-07-26,17
2020-08-02,25
2020-08-09,34
2020-08-16,27
2020-08-23,31
2020-08-30,22
2020-09-06,23
2020-09-13,30
2020-09-20,39
2020-09-27,46
2020-10-04,50
2020-10-11,45
2020-10-18,51
2020-10-25,43
2020-11-01,40
2020-11-08,33
2020-11-15,27
2020-11-22,61
2020-11-29,47
2020-12-06,40
2020-12-13,36
2020-12-20,28
2020-12-27,20
2021-01-03,31
2021-01-10,31
2021-01-17,60
2021-01-24,38
2021-01-31,48
2021-02-07,42
2021-02-14,36
2021-02-21,28
2021-02-28,34
2021-03-07,31
2021-03-14,36
2021-03-21,42
2021-03-28,44
2021-04-04,39
2021-04-11,44
2021-04-18,62
2021-04-25,57
2021-05-02,43
2021-05-09,25
2021-05-16,26
2021-05-23,54
2021-05-30,34
2021-06-06,37
2021-06-13,62
2021-06-20,60
2021-06-27,70
2021-07-04,100
2021-07-11,60
2021-07-18,50
2021-07-25,33
2021-08-01,64
2021-08-08,37
2021-08-15,34
2021-08-22,34
2021-08-29,53
