date,Performing_Art_BR
2020-03-15,28
2020-03-22,33
2020-03-29,36
2020-04-05,42
2020-04-12,52
2020-04-19,33
2020-04-26,31
2020-05-03,54
2020-05-10,48
2020-05-17,35
2020-05-24,51
2020-05-31,43
2020-06-07,45
2020-06-14,50
2020-06-21,69
2020-06-28,63
2020-07-05,59
2020-07-12,62
2020-07-19,53
2020-07-26,62
2020-08-02,49
2020-08-09,75
2020-08-16,76
2020-08-23,58
2020-08-30,66
2020-09-06,81
2020-09-13,49
2020-09-20,61
2020-09-27,45
2020-10-04,64
2020-10-11,54
2020-10-18,58
2020-10-25,79
2020-11-01,52
2020-11-08,64
2020-11-15,54
2020-11-22,63
2020-11-29,72
2020-12-06,74
2020-12-13,54
2020-12-20,37
2020-12-27,43
2021-01-03,43
2021-01-10,37
2021-01-17,53
2021-01-24,31
2021-01-31,37
2021-02-07,35
2021-02-14,40
2021-02-21,65
2021-02-28,48
2021-03-07,52
2021-03-14,57
2021-03-21,55
2021-03-28,60
2021-04-04,86
2021-04-11,63
2021-04-18,69
2021-04-25,100
2021-05-02,59
2021-05-09,67
2021-05-16,69
2021-05-23,69
2021-05-30,52
2021-06-06,63
2021-06-13,65
2021-06-20,73
2021-06-27,62
2021-07-04,61
2021-07-11,59
2021-07-18,41
2021-07-25,64
2021-08-01,54
2021-08-08,67
2021-08-15,58
2021-08-22,69
2021-08-29,62
