date,Pets_BR
2018-01-07,71
2018-01-14,67
2018-01-21,65
2018-01-28,61
2018-02-04,61
2018-02-11,67
2018-02-18,64
2018-02-25,65
2018-03-04,62
2018-03-11,67
2018-03-18,61
2018-03-25,58
2018-04-01,64
2018-04-08,61
2018-04-15,61
2018-04-22,67
2018-04-29,65
2018-05-06,62
2018-05-13,62
2018-05-20,57
2018-05-27,60
2018-06-03,67
2018-06-10,64
2018-06-17,62
2018-06-24,65
2018-07-01,71
2018-07-08,72
2018-07-15,75
2018-07-22,69
2018-07-29,73
2018-08-05,70
2018-08-12,70
2018-08-19,73
2018-08-26,72
2018-09-02,65
2018-09-09,71
2018-09-16,68
2018-09-23,68
2018-09-30,66
2018-10-07,62
2018-10-14,71
2018-10-21,61
2018-10-28,73
2018-11-04,73
2018-11-11,72
2018-11-18,65
2018-11-25,71
2018-12-02,72
2018-12-09,77
2018-12-16,89
2018-12-23,88
2018-12-30,70
2019-01-06,83
2019-01-13,77
2019-01-20,78
2019-01-27,84
2019-02-03,84
2019-02-10,84
2019-02-17,86
2019-02-24,82
2019-03-03,90
2019-03-10,80
2019-03-17,79
2019-03-24,84
2019-03-31,77
2019-04-07,68
2019-04-14,73
2019-04-21,74
2019-04-28,71
2019-05-05,73
2019-05-12,76
2019-05-19,78
2019-05-26,74
2019-06-02,69
2019-06-09,75
2019-06-16,78
2019-06-23,74
2019-06-30,84
2019-07-07,80
2019-07-14,86
2019-07-21,79
2019-07-28,85
2019-08-04,80
2019-08-11,80
2019-08-18,87
2019-08-25,79
2019-09-01,77
2019-09-08,76
2019-09-15,74
2019-09-22,79
2019-09-29,86
2019-10-06,76
2019-10-13,77
2019-10-20,71
2019-10-27,75
2019-11-03,72
2019-11-10,79
2019-11-17,77
2019-11-24,75
2019-12-01,72
2019-12-08,79
2019-12-15,84
2019-12-22,100
2019-12-29,87
2020-01-05,82
2020-01-12,85
2020-01-19,84
2020-01-26,79
2020-02-02,76
2020-02-09,76
2020-02-16,82
2020-02-23,82
2020-03-01,80
2020-03-08,77
