date,Sports_BR
2020-03-15,54
2020-03-22,35
2020-03-29,32
2020-04-05,28
2020-04-12,30
2020-04-19,27
2020-04-26,27
2020-05-03,28
2020-05-10,29
2020-05-17,30
2020-05-24,33
2020-05-31,32
2020-06-07,35
2020-06-14,43
2020-06-21,40
2020-06-28,46
2020-07-05,51
2020-07-12,54
2020-07-19,64
2020-07-26,78
2020-08-02,81
2020-08-09,90
2020-08-16,93
2020-08-23,84
2020-08-30,88
2020-09-06,92
2020-09-13,92
2020-09-20,90
2020-09-27,87
2020-10-04,91
2020-10-11,100
2020-10-18,92
2020-10-25,85
2020-11-01,87
2020-11-08,87
2020-11-15,79
2020-11-22,84
2020-11-29,83
2020-12-06,82
2020-12-13,82
2020-12-20,80
2020-12-27,72
2021-01-03,72
2021-01-10,86
2021-01-17,88
2021-01-24,90
2021-01-31,87
2021-02-07,84
2021-02-14,80
2021-02-21,85
2021-02-28,71
2021-03-07,73
2021-03-14,68
2021-03-21,61
2021-03-28,58
2021-04-04,67
2021-04-11,79
2021-04-18,75
2021-04-25,76
2021-05-02,75
2021-05-09,79
2021-05-16,84
2021-05-23,79
2021-05-30,79
2021-06-06,83
2021-06-13,79
2021-06-20,76
2021-06-27,77
2021-07-04,82
2021-07-11,80
2021-07-18,90
2021-07-25,90
2021-08-01,92
2021-08-08,84
2021-08-15,86
2021-08-22,84
2021-08-29,81
