date,Cooking_CA
2018-01-07,41
2018-01-14,43
2018-01-21,44
2018-01-28,43
2018-02-04,37
2018-02-11,41
2018-02-18,37
2018-02-25,40
2018-03-04,39
2018-03-11,39
2018-03-18,38
2018-03-25,48
2018-04-01,47
2018-04-08,40
2018-04-15,38
2018-04-22,36
2018-04-29,34
2018-05-06,38
2018-05-13,37
2018-05-20,37
2018-05-27,34
2018-06-03,38
2018-06-10,38
2018-06-17,37
2018-06-24,33
2018-07-01,34
2018-07-08,37
2018-07-15,38
2018-07-22,39
2018-07-29,41
2018-08-05,43
2018-08-12,38
2018-08-19,41
2018-08-26,37
2018-09-02,41
2018-09-09,40
2018-09-16,39
2018-09-23,41
2018-09-30,52
2018-10-07,68
2018-10-14,41
2018-10-21,44
2018-10-28,44
2018-11-04,37
2018-11-11,41
2018-11-18,40
2018-11-25,46
2018-12-02,42
2018-12-09,43
2018-12-16,47
2018-12-23,91
2018-12-30,52
2019-01-06,45
2019-01-13,44
2019-01-20,47
2019-01-27,42
2019-02-03,41
2019-02-10,42
2019-02-17,42
2019-02-24,40
2019-03-03,41
2019-03-10,37
2019-03-17,37
2019-03-24,38
2019-03-31,40
2019-04-07,37
2019-04-14,46
2019-04-21,45
2019-04-28,39
2019-05-05,39
2019-05-12,39
2019-05-19,40
2019-05-26,36
2019-06-02,38
2019-06-09,35
2019-06-16,33
2019-06-23,35
2019-06-30,39
2019-07-07,35
2019-07-14,35
2019-07-21,38
2019-07-28,39
2019-08-04,40
2019-08-11,38
2019-08-18,40
2019-08-25,37
2019-09-01,44
2019-09-08,41
2019-09-15,41
2019-09-22,40
2019-09-29,41
2019-10-06,54
2019-10-13,70
2019-10-20,39
2019-10-27,40
2019-11-03,41
2019-11-10,42
2019-11-17,39
2019-11-24,40
2019-12-01,41
2019-12-08,44
2019-12-15,45
2019-12-22,100
2019-12-29,56
2020-01-05,45
2020-01-12,45
2020-01-19,42
2020-01-26,42
2020-02-02,40
2020-02-09,39
2020-02-16,39
2020-02-23,39
2020-03-01,39
2020-03-08,38
