date,Crafts_CA
2018-01-07,50
2018-01-14,51
2018-01-21,49
2018-01-28,49
2018-02-04,56
2018-02-11,49
2018-02-18,50
2018-02-25,47
2018-03-04,54
2018-03-11,57
2018-03-18,54
2018-03-25,57
2018-04-01,46
2018-04-08,52
2018-04-15,48
2018-04-22,48
2018-04-29,56
2018-05-06,59
2018-05-13,46
2018-05-20,41
2018-05-27,45
2018-06-03,48
2018-06-10,56
2018-06-17,42
2018-06-24,46
2018-07-01,40
2018-07-08,41
2018-07-15,43
2018-07-22,42
2018-07-29,44
2018-08-05,43
2018-08-12,50
2018-08-19,47
2018-08-26,44
2018-09-02,45
2018-09-09,51
2018-09-16,53
2018-09-23,55
2018-09-30,68
2018-10-07,67
2018-10-14,65
2018-10-21,68
2018-10-28,82
2018-11-04,94
2018-11-11,95
2018-11-18,88
2018-11-25,98
2018-12-02,78
2018-12-09,76
2018-12-16,63
2018-12-23,43
2018-12-30,42
2019-01-06,50
2019-01-13,52
2019-01-20,52
2019-01-27,53
2019-02-03,54
2019-02-10,53
2019-02-17,47
2019-02-24,46
2019-03-03,51
2019-03-10,50
2019-03-17,48
2019-03-24,54
2019-03-31,45
2019-04-07,52
2019-04-14,53
2019-04-21,50
2019-04-28,45
2019-05-05,55
2019-05-12,47
2019-05-19,42
2019-05-26,43
2019-06-02,45
2019-06-09,49
2019-06-16,45
2019-06-23,46
2019-06-30,43
2019-07-07,43
2019-07-14,44
2019-07-21,37
2019-07-28,40
2019-08-04,47
2019-08-11,45
2019-08-18,50
2019-08-25,44
2019-09-01,46
2019-09-08,47
2019-09-15,47
2019-09-22,55
2019-09-29,59
2019-10-06,68
2019-10-13,68
2019-10-20,64
2019-10-27,78
2019-11-03,87
2019-11-10,100
2019-11-17,96
2019-11-24,85
2019-12-01,85
2019-12-08,78
2019-12-15,61
2019-12-22,49
2019-12-29,45
2020-01-05,48
2020-01-12,53
2020-01-19,53
2020-01-26,49
2020-02-02,51
2020-02-09,53
2020-02-16,48
2020-02-23,49
2020-03-01,49
2020-03-08,44
