date,Learning_CA
2020-03-15,87
2020-03-22,100
2020-03-29,94
2020-04-05,77
2020-04-12,79
2020-04-19,69
2020-04-26,72
2020-05-03,69
2020-05-10,67
2020-05-17,58
2020-05-24,65
2020-05-31,65
2020-06-07,62
2020-06-14,61
2020-06-21,59
2020-06-28,54
2020-07-05,58
2020-07-12,55
2020-07-19,54
2020-07-26,51
2020-08-02,48
2020-08-09,52
2020-08-16,54
2020-08-23,55
2020-08-30,64
2020-09-06,72
2020-09-13,77
2020-09-20,73
2020-09-27,68
2020-10-04,68
2020-10-11,56
2020-10-18,61
2020-10-25,57
2020-11-01,51
2020-11-08,55
2020-11-15,60
2020-11-22,54
2020-11-29,65
2020-12-06,64
2020-12-13,55
2020-12-20,43
2020-12-27,43
2021-01-03,67
2021-01-10,75
2021-01-17,68
2021-01-24,59
2021-01-31,67
2021-02-07,60
2021-02-14,57
2021-02-21,55
2021-02-28,57
2021-03-07,55
2021-03-14,54
2021-03-21,55
2021-03-28,57
2021-04-04,56
2021-04-11,54
2021-04-18,55
2021-04-25,60
2021-05-02,57
2021-05-09,55
2021-05-16,49
2021-05-23,47
2021-05-30,48
2021-06-06,49
2021-06-13,46
2021-06-20,45
2021-06-27,40
2021-07-04,41
2021-07-11,42
2021-07-18,43
2021-07-25,43
2021-08-01,43
2021-08-08,40
2021-08-15,40
2021-08-22,41
2021-08-29,45
