date,Sports_CA
2020-03-15,43
2020-03-22,42
2020-03-29,44
2020-04-05,47
2020-04-12,51
2020-04-19,48
2020-04-26,52
2020-05-03,52
2020-05-10,62
2020-05-17,60
2020-05-24,61
2020-05-31,60
2020-06-07,57
2020-06-14,60
2020-06-21,61
2020-06-28,61
2020-07-05,64
2020-07-12,73
2020-07-19,77
2020-07-26,79
2020-08-02,92
2020-08-09,82
2020-08-16,90
2020-08-23,89
2020-08-30,85
2020-09-06,93
2020-09-13,83
2020-09-20,82
2020-09-27,79
2020-10-04,83
2020-10-11,77
2020-10-18,78
2020-10-25,73
2020-11-01,62
2020-11-08,67
2020-11-15,72
2020-11-22,70
2020-11-29,75
2020-12-06,69
2020-12-13,75
2020-12-20,74
2020-12-27,80
2021-01-03,76
2021-01-10,84
2021-01-17,92
2021-01-24,84
2021-01-31,81
2021-02-07,92
2021-02-14,79
2021-02-21,83
2021-02-28,77
2021-03-07,81
2021-03-14,83
2021-03-21,80
2021-03-28,78
2021-04-04,80
2021-04-11,75
2021-04-18,76
2021-04-25,72
2021-05-02,74
2021-05-09,71
2021-05-16,78
2021-05-23,81
2021-05-30,92
2021-06-06,91
2021-06-13,100
2021-06-20,99
2021-06-27,93
2021-07-04,90
2021-07-11,85
2021-07-18,79
2021-07-25,85
2021-08-01,85
2021-08-08,78
2021-08-15,68
2021-08-22,80
2021-08-29,79
