date,Crafts_CH
2020-03-15,87
2020-03-22,68
2020-03-29,94
2020-04-05,67
2020-04-12,72
2020-04-19,53
2020-04-26,63
2020-05-03,80
2020-05-10,76
2020-05-17,78
2020-05-24,79
2020-05-31,71
2020-06-07,67
2020-06-14,80
2020-06-21,74
2020-06-28,49
2020-07-05,42
2020-07-12,42
2020-07-19,66
2020-07-26,49
2020-08-02,63
2020-08-09,43
2020-08-16,61
2020-08-23,77
2020-08-30,65
2020-09-06,71
2020-09-13,93
2020-09-20,64
2020-09-27,58
2020-10-04,68
2020-10-11,65
2020-10-18,73
2020-10-25,59
2020-11-01,90
2020-11-08,74
2020-11-15,87
2020-11-22,79
2020-11-29,65
2020-12-06,54
2020-12-13,79
2020-12-20,63
2020-12-27,51
2021-01-03,76
2021-01-10,50
2021-01-17,48
2021-01-24,62
2021-01-31,83
2021-02-07,77
2021-02-14,63
2021-02-21,73
2021-02-28,76
2021-03-07,75
2021-03-14,65
2021-03-21,74
2021-03-28,64
2021-04-04,61
2021-04-11,62
2021-04-18,74
2021-04-25,59
2021-05-02,52
2021-05-09,81
2021-05-16,59
2021-05-23,57
2021-05-30,52
2021-06-06,58
2021-06-13,59
2021-06-20,61
2021-06-27,60
2021-07-04,56
2021-07-11,65
2021-07-18,60
2021-07-25,70
2021-08-01,58
2021-08-08,56
2021-08-15,47
2021-08-22,100
2021-08-29,58
