date,Game_CH
2020-03-15,61
2020-03-22,73
2020-03-29,66
2020-04-05,62
2020-04-12,59
2020-04-19,55
2020-04-26,56
2020-05-03,54
2020-05-10,51
2020-05-17,53
2020-05-24,48
2020-05-31,52
2020-06-07,58
2020-06-14,51
2020-06-21,48
2020-06-28,48
2020-07-05,44
2020-07-12,46
2020-07-19,49
2020-07-26,48
2020-08-02,50
2020-08-09,47
2020-08-16,46
2020-08-23,52
2020-08-30,51
2020-09-06,52
2020-09-13,51
2020-09-20,55
2020-09-27,51
2020-10-04,55
2020-10-11,56
2020-10-18,55
2020-10-25,57
2020-11-01,53
2020-11-08,57
2020-11-15,65
2020-11-22,61
2020-11-29,64
2020-12-06,65
2020-12-13,66
2020-12-20,70
2020-12-27,76
2021-01-03,57
2021-01-10,61
2021-01-17,62
2021-01-24,67
2021-01-31,61
2021-02-07,60
2021-02-14,59
2021-02-21,53
2021-02-28,54
2021-03-07,56
2021-03-14,61
2021-03-21,58
2021-03-28,56
2021-04-04,61
2021-04-11,59
2021-04-18,55
2021-04-25,52
2021-05-02,51
2021-05-09,61
2021-05-16,56
2021-05-23,57
2021-05-30,56
2021-06-06,68
2021-06-13,88
2021-06-20,87
2021-06-27,100
2021-07-04,61
2021-07-11,56
2021-07-18,57
2021-07-25,69
2021-08-01,70
2021-08-08,56
2021-08-15,57
2021-08-22,65
2021-08-29,61
