date,Learning_CH
2018-01-07,57
2018-01-14,68
2018-01-21,51
2018-01-28,55
2018-02-04,68
2018-02-11,67
2018-02-18,53
2018-02-25,47
2018-03-04,57
2018-03-11,82
2018-03-18,66
2018-03-25,59
2018-04-01,43
2018-04-08,58
2018-04-15,49
2018-04-22,58
2018-04-29,52
2018-05-06,45
2018-05-13,59
2018-05-20,44
2018-05-27,61
2018-06-03,48
2018-06-10,61
2018-06-17,55
2018-06-24,41
2018-07-01,46
2018-07-08,34
2018-07-15,60
2018-07-22,46
2018-07-29,45
2018-08-05,42
2018-08-12,50
2018-08-19,52
2018-08-26,47
2018-09-02,60
2018-09-09,46
2018-09-16,70
2018-09-23,49
2018-09-30,75
2018-10-07,50
2018-10-14,56
2018-10-21,55
2018-10-28,64
2018-11-04,61
2018-11-11,52
2018-11-18,59
2018-11-25,60
2018-12-02,60
2018-12-09,59
2018-12-16,35
2018-12-23,30
2018-12-30,50
2019-01-06,73
2019-01-13,60
2019-01-20,51
2019-01-27,71
2019-02-03,60
2019-02-10,71
2019-02-17,61
2019-02-24,71
2019-03-03,52
2019-03-10,63
2019-03-17,100
2019-03-24,90
2019-03-31,52
2019-04-07,55
2019-04-14,40
2019-04-21,42
2019-04-28,51
2019-05-05,56
2019-05-12,53
2019-05-19,65
2019-05-26,45
2019-06-02,51
2019-06-09,72
2019-06-16,50
2019-06-23,73
2019-06-30,41
2019-07-07,46
2019-07-14,57
2019-07-21,45
2019-07-28,43
2019-08-04,37
2019-08-11,63
2019-08-18,61
2019-08-25,47
2019-09-01,64
2019-09-08,64
2019-09-15,63
2019-09-22,79
2019-09-29,52
2019-10-06,73
2019-10-13,70
2019-10-20,44
2019-10-27,64
2019-11-03,58
2019-11-10,48
2019-11-17,59
2019-11-24,40
2019-12-01,65
2019-12-08,64
2019-12-15,51
2019-12-22,42
2019-12-29,48
2020-01-05,65
2020-01-12,69
2020-01-19,58
2020-01-26,37
2020-02-02,57
2020-02-09,50
2020-02-16,61
2020-02-23,64
2020-03-01,37
2020-03-08,48
