date,Performing_Art_CH
2018-01-07,94
2018-01-14,20
2018-01-21,65
2018-01-28,35
2018-02-04,67
2018-02-11,44
2018-02-18,49
2018-02-25,74
2018-03-04,63
2018-03-11,48
2018-03-18,23
2018-03-25,75
2018-04-01,19
2018-04-08,27
2018-04-15,30
2018-04-22,42
2018-04-29,32
2018-05-06,40
2018-05-13,29
2018-05-20,33
2018-05-27,44
2018-06-03,44
2018-06-10,51
2018-06-17,50
2018-06-24,30
2018-07-01,24
2018-07-08,22
2018-07-15,20
2018-07-22,14
2018-07-29,17
2018-08-05,31
2018-08-12,33
2018-08-19,39
2018-08-26,26
2018-09-02,42
2018-09-09,24
2018-09-16,44
2018-09-23,44
2018-09-30,45
2018-10-07,81
2018-10-14,55
2018-10-21,30
2018-10-28,34
2018-11-04,65
2018-11-11,60
2018-11-18,73
2018-11-25,55
2018-12-02,58
2018-12-09,73
2018-12-16,59
2018-12-23,73
2018-12-30,55
2019-01-06,47
2019-01-13,42
2019-01-20,28
2019-01-27,16
2019-02-03,3
2019-02-10,0
2019-02-17,3
2019-02-24,8
2019-03-03,8
2019-03-10,16
2019-03-17,6
2019-03-24,11
2019-03-31,42
2019-04-07,51
2019-04-14,40
2019-04-21,34
2019-04-28,46
2019-05-05,60
2019-05-12,39
2019-05-19,33
2019-05-26,42
2019-06-02,42
2019-06-09,56
2019-06-16,40
2019-06-23,42
2019-06-30,17
2019-07-07,27
2019-07-14,77
2019-07-21,66
2019-07-28,98
2019-08-04,71
2019-08-11,58
2019-08-18,22
2019-08-25,31
2019-09-01,32
2019-09-08,36
2019-09-15,28
2019-09-22,44
2019-09-29,42
2019-10-06,53
2019-10-13,41
2019-10-20,56
2019-10-27,61
2019-11-03,61
2019-11-10,37
2019-11-17,69
2019-11-24,72
2019-12-01,70
2019-12-08,82
2019-12-15,90
2019-12-22,100
2019-12-29,59
2020-01-05,49
2020-01-12,52
2020-01-19,77
2020-01-26,53
2020-02-02,82
2020-02-09,59
2020-02-16,69
2020-02-23,59
2020-03-01,64
2020-03-08,48
