date,Collecting_CL
2018-01-07,38
2018-01-14,27
2018-01-21,26
2018-01-28,34
2018-02-04,59
2018-02-11,28
2018-02-18,34
2018-02-25,47
2018-03-04,53
2018-03-11,37
2018-03-18,37
2018-03-25,46
2018-04-01,30
2018-04-08,30
2018-04-15,27
2018-04-22,33
2018-04-29,45
2018-05-06,44
2018-05-13,30
2018-05-20,35
2018-05-27,38
2018-06-03,50
2018-06-10,22
2018-06-17,41
2018-06-24,41
2018-07-01,52
2018-07-08,33
2018-07-15,47
2018-07-22,38
2018-07-29,52
2018-08-05,42
2018-08-12,50
2018-08-19,55
2018-08-26,36
2018-09-02,13
2018-09-09,46
2018-09-16,50
2018-09-23,51
2018-09-30,16
2018-10-07,46
2018-10-14,38
2018-10-21,44
2018-10-28,54
2018-11-04,48
2018-11-11,27
2018-11-18,37
2018-11-25,31
2018-12-02,44
2018-12-09,54
2018-12-16,67
2018-12-23,53
2018-12-30,44
2019-01-06,29
2019-01-13,87
2019-01-20,67
2019-01-27,39
2019-02-03,44
2019-02-10,44
2019-02-17,43
2019-02-24,37
2019-03-03,57
2019-03-10,37
2019-03-17,60
2019-03-24,36
2019-03-31,36
2019-04-07,48
2019-04-14,36
2019-04-21,37
2019-04-28,60
2019-05-05,33
2019-05-12,43
2019-05-19,37
2019-05-26,48
2019-06-02,73
2019-06-09,55
2019-06-16,36
2019-06-23,42
2019-06-30,23
2019-07-07,48
2019-07-14,46
2019-07-21,48
2019-07-28,49
2019-08-04,100
2019-08-11,58
2019-08-18,43
2019-08-25,42
2019-09-01,45
2019-09-08,53
2019-09-15,49
2019-09-22,58
2019-09-29,38
2019-10-06,44
2019-10-13,43
2019-10-20,10
2019-10-27,49
2019-11-03,53
2019-11-10,35
2019-11-17,31
2019-11-24,47
2019-12-01,42
2019-12-08,52
2019-12-15,56
2019-12-22,67
2019-12-29,42
2020-01-05,50
2020-01-12,31
2020-01-19,44
2020-01-26,32
2020-02-02,38
2020-02-09,35
2020-02-16,47
2020-02-23,43
2020-03-01,52
2020-03-08,31
