date,Performing_Art_CL
2020-03-15,18
2020-03-22,0
2020-03-29,47
2020-04-05,34
2020-04-12,100
2020-04-19,17
2020-04-26,34
2020-05-03,32
2020-05-10,33
2020-05-17,16
2020-05-24,0
2020-05-31,30
2020-06-07,15
2020-06-14,61
2020-06-21,0
2020-06-28,46
2020-07-05,0
2020-07-12,49
2020-07-19,16
2020-07-26,43
2020-08-02,42
2020-08-09,44
2020-08-16,47
2020-08-23,75
2020-08-30,14
2020-09-06,15
2020-09-13,0
2020-09-20,97
2020-09-27,65
2020-10-04,69
2020-10-11,19
2020-10-18,37
2020-10-25,18
2020-11-01,68
2020-11-08,18
2020-11-15,37
2020-11-22,54
2020-11-29,55
2020-12-06,54
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,20
2021-02-21,0
2021-02-28,19
2021-03-07,73
2021-03-14,16
2021-03-21,51
2021-03-28,0
2021-04-04,16
2021-04-11,80
2021-04-18,31
2021-04-25,15
2021-05-02,46
2021-05-09,0
2021-05-16,32
2021-05-23,32
2021-05-30,29
2021-06-06,0
2021-06-13,32
2021-06-20,0
2021-06-27,16
2021-07-04,0
2021-07-11,19
2021-07-18,19
2021-07-25,36
2021-08-01,0
2021-08-08,0
2021-08-15,17
2021-08-22,20
2021-08-29,39
