date,Pets_CL
2018-01-07,6
2018-01-14,5
2018-01-21,5
2018-01-28,6
2018-02-04,5
2018-02-11,6
2018-02-18,5
2018-02-25,5
2018-03-04,20
2018-03-11,16
2018-03-18,10
2018-03-25,7
2018-04-01,6
2018-04-08,7
2018-04-15,5
2018-04-22,6
2018-04-29,7
2018-05-06,5
2018-05-13,6
2018-05-20,7
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,5
2018-06-24,6
2018-07-01,5
2018-07-08,6
2018-07-15,6
2018-07-22,7
2018-07-29,6
2018-08-05,7
2018-08-12,7
2018-08-19,7
2018-08-26,7
2018-09-02,7
2018-09-09,6
2018-09-16,6
2018-09-23,6
2018-09-30,6
2018-10-07,7
2018-10-14,5
2018-10-21,7
2018-10-28,6
2018-11-04,7
2018-11-11,7
2018-11-18,7
2018-11-25,5
2018-12-02,5
2018-12-09,6
2018-12-16,7
2018-12-23,8
2018-12-30,8
2019-01-06,7
2019-01-13,7
2019-01-20,17
2019-01-27,29
2019-02-03,41
2019-02-10,100
2019-02-17,20
2019-02-24,13
2019-03-03,10
2019-03-10,10
2019-03-17,8
2019-03-24,9
2019-03-31,8
2019-04-07,7
2019-04-14,7
2019-04-21,7
2019-04-28,8
2019-05-05,6
2019-05-12,7
2019-05-19,7
2019-05-26,7
2019-06-02,6
2019-06-09,6
2019-06-16,7
2019-06-23,7
2019-06-30,6
2019-07-07,8
2019-07-14,9
2019-07-21,8
2019-07-28,8
2019-08-04,6
2019-08-11,7
2019-08-18,7
2019-08-25,6
2019-09-01,6
2019-09-08,6
2019-09-15,7
2019-09-22,7
2019-09-29,7
2019-10-06,8
2019-10-13,6
2019-10-20,4
2019-10-27,5
2019-11-03,7
2019-11-10,7
2019-11-17,6
2019-11-24,6
2019-12-01,7
2019-12-08,6
2019-12-15,6
2019-12-22,8
2019-12-29,8
2020-01-05,8
2020-01-12,9
2020-01-19,8
2020-01-26,8
2020-02-02,8
2020-02-09,8
2020-02-16,9
2020-02-23,6
2020-03-01,7
2020-03-08,5
