date,Cooking_CN
2018-01-07,40
2018-01-14,41
2018-01-21,33
2018-01-28,43
2018-02-04,63
2018-02-11,69
2018-02-18,64
2018-02-25,25
2018-03-04,46
2018-03-11,36
2018-03-18,22
2018-03-25,28
2018-04-01,8
2018-04-08,25
2018-04-15,13
2018-04-22,75
2018-04-29,38
2018-05-06,38
2018-05-13,25
2018-05-20,25
2018-05-27,19
2018-06-03,26
2018-06-10,31
2018-06-17,28
2018-06-24,46
2018-07-01,38
2018-07-08,25
2018-07-15,32
2018-07-22,7
2018-07-29,32
2018-08-05,19
2018-08-12,31
2018-08-19,38
2018-08-26,38
2018-09-02,24
2018-09-09,51
2018-09-16,23
2018-09-23,24
2018-09-30,37
2018-10-07,47
2018-10-14,22
2018-10-21,44
2018-10-28,33
2018-11-04,27
2018-11-11,21
2018-11-18,40
2018-11-25,29
2018-12-02,45
2018-12-09,34
2018-12-16,56
2018-12-23,34
2018-12-30,55
2019-01-06,11
2019-01-13,6
2019-01-20,36
2019-01-27,17
2019-02-03,45
2019-02-10,35
2019-02-17,55
2019-02-24,18
2019-03-03,31
2019-03-10,18
2019-03-17,6
2019-03-24,12
2019-03-31,48
2019-04-07,60
2019-04-14,6
2019-04-21,58
2019-04-28,45
2019-05-05,34
2019-05-12,30
2019-05-19,54
2019-05-26,18
2019-06-02,42
2019-06-09,43
2019-06-16,55
2019-06-23,30
2019-06-30,50
2019-07-07,98
2019-07-14,32
2019-07-21,34
2019-07-28,28
2019-08-04,20
2019-08-11,42
2019-08-18,25
2019-08-25,25
2019-09-01,36
2019-09-08,27
2019-09-15,39
2019-09-22,27
2019-09-29,52
2019-10-06,49
2019-10-13,33
2019-10-20,32
2019-10-27,27
2019-11-03,20
2019-11-10,13
2019-11-17,72
2019-11-24,46
2019-12-01,21
2019-12-08,30
2019-12-15,41
2019-12-22,29
2019-12-29,47
2020-01-05,56
2020-01-12,36
2020-01-19,40
2020-01-26,27
2020-02-02,40
2020-02-09,51
2020-02-16,12
2020-02-23,33
2020-03-01,100
2020-03-08,42
