date,Cooking_CO
2018-01-07,52
2018-01-14,57
2018-01-21,46
2018-01-28,46
2018-02-04,44
2018-02-11,47
2018-02-18,52
2018-02-25,48
2018-03-04,53
2018-03-11,50
2018-03-18,37
2018-03-25,64
2018-04-01,54
2018-04-08,68
2018-04-15,45
2018-04-22,55
2018-04-29,53
2018-05-06,57
2018-05-13,57
2018-05-20,47
2018-05-27,55
2018-06-03,56
2018-06-10,76
2018-06-17,54
2018-06-24,38
2018-07-01,69
2018-07-08,54
2018-07-15,64
2018-07-22,62
2018-07-29,61
2018-08-05,54
2018-08-12,74
2018-08-19,64
2018-08-26,63
2018-09-02,56
2018-09-09,43
2018-09-16,62
2018-09-23,65
2018-09-30,57
2018-10-07,64
2018-10-14,47
2018-10-21,43
2018-10-28,49
2018-11-04,56
2018-11-11,61
2018-11-18,72
2018-11-25,54
2018-12-02,64
2018-12-09,42
2018-12-16,60
2018-12-23,82
2018-12-30,68
2019-01-06,64
2019-01-13,56
2019-01-20,56
2019-01-27,48
2019-02-03,59
2019-02-10,49
2019-02-17,41
2019-02-24,56
2019-03-03,65
2019-03-10,50
2019-03-17,65
2019-03-24,63
2019-03-31,58
2019-04-07,32
2019-04-14,71
2019-04-21,45
2019-04-28,44
2019-05-05,46
2019-05-12,45
2019-05-19,67
2019-05-26,57
2019-06-02,60
2019-06-09,54
2019-06-16,65
2019-06-23,62
2019-06-30,58
2019-07-07,66
2019-07-14,65
2019-07-21,59
2019-07-28,53
2019-08-04,50
2019-08-11,53
2019-08-18,64
2019-08-25,72
2019-09-01,57
2019-09-08,68
2019-09-15,61
2019-09-22,65
2019-09-29,67
2019-10-06,64
2019-10-13,64
2019-10-20,41
2019-10-27,69
2019-11-03,58
2019-11-10,57
2019-11-17,45
2019-11-24,51
2019-12-01,66
2019-12-08,52
2019-12-15,68
2019-12-22,100
2019-12-29,77
2020-01-05,77
2020-01-12,62
2020-01-19,66
2020-01-26,60
2020-02-02,64
2020-02-09,65
2020-02-16,67
2020-02-23,58
2020-03-01,69
2020-03-08,77
