date,Game_CO
2020-03-15,45
2020-03-22,51
2020-03-29,48
2020-04-05,52
2020-04-12,47
2020-04-19,46
2020-04-26,76
2020-05-03,100
2020-05-10,46
2020-05-17,46
2020-05-24,47
2020-05-31,45
2020-06-07,45
2020-06-14,48
2020-06-21,45
2020-06-28,45
2020-07-05,45
2020-07-12,45
2020-07-19,45
2020-07-26,43
2020-08-02,43
2020-08-09,42
2020-08-16,44
2020-08-23,42
2020-08-30,43
2020-09-06,42
2020-09-13,42
2020-09-20,45
2020-09-27,44
2020-10-04,47
2020-10-11,46
2020-10-18,40
2020-10-25,42
2020-11-01,40
2020-11-08,45
2020-11-15,45
2020-11-22,39
2020-11-29,42
2020-12-06,43
2020-12-13,41
2020-12-20,43
2020-12-27,43
2021-01-03,37
2021-01-10,39
2021-01-17,37
2021-01-24,36
2021-01-31,36
2021-02-07,35
2021-02-14,36
2021-02-21,35
2021-02-28,35
2021-03-07,36
2021-03-14,37
2021-03-21,39
2021-03-28,42
2021-04-04,39
2021-04-11,37
2021-04-18,39
2021-04-25,39
2021-05-02,39
2021-05-09,39
2021-05-16,41
2021-05-23,38
2021-05-30,41
2021-06-06,42
2021-06-13,47
2021-06-20,46
2021-06-27,41
2021-07-04,47
2021-07-11,38
2021-07-18,51
2021-07-25,65
2021-08-01,60
2021-08-08,40
2021-08-15,39
2021-08-22,41
2021-08-29,46
