date,Learning_CO
2020-03-15,90
2020-03-22,82
2020-03-29,77
2020-04-05,74
2020-04-12,70
2020-04-19,86
2020-04-26,83
2020-05-03,83
2020-05-10,89
2020-05-17,87
2020-05-24,73
2020-05-31,64
2020-06-07,73
2020-06-14,61
2020-06-21,77
2020-06-28,55
2020-07-05,63
2020-07-12,72
2020-07-19,81
2020-07-26,59
2020-08-02,63
2020-08-09,71
2020-08-16,71
2020-08-23,68
2020-08-30,79
2020-09-06,79
2020-09-13,70
2020-09-20,100
2020-09-27,70
2020-10-04,60
2020-10-11,69
2020-10-18,50
2020-10-25,54
2020-11-01,53
2020-11-08,54
2020-11-15,69
2020-11-22,57
2020-11-29,48
2020-12-06,49
2020-12-13,61
2020-12-20,29
2020-12-27,33
2021-01-03,43
2021-01-10,51
2021-01-17,43
2021-01-24,57
2021-01-31,56
2021-02-07,65
2021-02-14,57
2021-02-21,59
2021-02-28,55
2021-03-07,63
2021-03-14,57
2021-03-21,62
2021-03-28,44
2021-04-04,74
2021-04-11,61
2021-04-18,51
2021-04-25,59
2021-05-02,45
2021-05-09,69
2021-05-16,48
2021-05-23,68
2021-05-30,60
2021-06-06,53
2021-06-13,57
2021-06-20,51
2021-06-27,50
2021-07-04,49
2021-07-11,46
2021-07-18,57
2021-07-25,67
2021-08-01,50
2021-08-08,69
2021-08-15,58
2021-08-22,50
2021-08-29,76
