date,Performing_Art_CO
2020-03-15,25
2020-03-22,58
2020-03-29,18
2020-04-05,13
2020-04-12,79
2020-04-19,65
2020-04-26,43
2020-05-03,42
2020-05-10,22
2020-05-17,70
2020-05-24,56
2020-05-31,37
2020-06-07,44
2020-06-14,29
2020-06-21,31
2020-06-28,30
2020-07-05,43
2020-07-12,37
2020-07-19,45
2020-07-26,36
2020-08-02,31
2020-08-09,53
2020-08-16,48
2020-08-23,46
2020-08-30,47
2020-09-06,59
2020-09-13,36
2020-09-20,43
2020-09-27,45
2020-10-04,43
2020-10-11,79
2020-10-18,54
2020-10-25,46
2020-11-01,47
2020-11-08,100
2020-11-15,42
2020-11-22,21
2020-11-29,22
2020-12-06,0
2020-12-13,16
2020-12-20,9
2020-12-27,9
2021-01-03,16
2021-01-10,46
2021-01-17,45
2021-01-24,36
2021-01-31,7
2021-02-07,26
2021-02-14,57
2021-02-21,37
2021-02-28,37
2021-03-07,69
2021-03-14,12
2021-03-21,27
2021-03-28,32
2021-04-04,37
2021-04-11,55
2021-04-18,24
2021-04-25,36
2021-05-02,25
2021-05-09,38
2021-05-16,27
2021-05-23,38
2021-05-30,51
2021-06-06,41
2021-06-13,13
2021-06-20,55
2021-06-27,28
2021-07-04,7
2021-07-11,27
2021-07-18,27
2021-07-25,39
2021-08-01,53
2021-08-08,33
2021-08-15,40
2021-08-22,47
2021-08-29,21
