date,Pets_CO
2018-01-07,65
2018-01-14,73
2018-01-21,60
2018-01-28,59
2018-02-04,70
2018-02-11,64
2018-02-18,65
2018-02-25,61
2018-03-04,66
2018-03-11,66
2018-03-18,63
2018-03-25,77
2018-04-01,63
2018-04-08,66
2018-04-15,66
2018-04-22,61
2018-04-29,65
2018-05-06,70
2018-05-13,76
2018-05-20,70
2018-05-27,76
2018-06-03,74
2018-06-10,64
2018-06-17,57
2018-06-24,68
2018-07-01,64
2018-07-08,74
2018-07-15,75
2018-07-22,81
2018-07-29,65
2018-08-05,70
2018-08-12,71
2018-08-19,67
2018-08-26,58
2018-09-02,67
2018-09-09,63
2018-09-16,57
2018-09-23,71
2018-09-30,70
2018-10-07,56
2018-10-14,75
2018-10-21,66
2018-10-28,70
2018-11-04,87
2018-11-11,70
2018-11-18,59
2018-11-25,69
2018-12-02,77
2018-12-09,79
2018-12-16,77
2018-12-23,99
2018-12-30,89
2019-01-06,85
2019-01-13,72
2019-01-20,76
2019-01-27,66
2019-02-03,73
2019-02-10,65
2019-02-17,85
2019-02-24,71
2019-03-03,65
2019-03-10,62
2019-03-17,70
2019-03-24,91
2019-03-31,74
2019-04-07,81
2019-04-14,77
2019-04-21,75
2019-04-28,76
2019-05-05,69
2019-05-12,63
2019-05-19,77
2019-05-26,70
2019-06-02,83
2019-06-09,78
2019-06-16,62
2019-06-23,69
2019-06-30,73
2019-07-07,98
2019-07-14,72
2019-07-21,88
2019-07-28,77
2019-08-04,82
2019-08-11,85
2019-08-18,83
2019-08-25,82
2019-09-01,74
2019-09-08,82
2019-09-15,75
2019-09-22,67
2019-09-29,78
2019-10-06,74
2019-10-13,94
2019-10-20,77
2019-10-27,81
2019-11-03,77
2019-11-10,62
2019-11-17,76
2019-11-24,68
2019-12-01,77
2019-12-08,83
2019-12-15,68
2019-12-22,94
2019-12-29,100
2020-01-05,100
2020-01-12,75
2020-01-19,71
2020-01-26,67
2020-02-02,72
2020-02-09,76
2020-02-16,74
2020-02-23,79
2020-03-01,79
2020-03-08,60
