date,Crafts_CZ
2018-01-07,23
2018-01-14,70
2018-01-21,47
2018-01-28,38
2018-02-04,43
2018-02-11,37
2018-02-18,56
2018-02-25,52
2018-03-04,33
2018-03-11,56
2018-03-18,38
2018-03-25,64
2018-04-01,56
2018-04-08,34
2018-04-15,30
2018-04-22,68
2018-04-29,45
2018-05-06,39
2018-05-13,51
2018-05-20,20
2018-05-27,39
2018-06-03,79
2018-06-10,19
2018-06-17,49
2018-06-24,39
2018-07-01,50
2018-07-08,45
2018-07-15,36
2018-07-22,51
2018-07-29,31
2018-08-05,50
2018-08-12,55
2018-08-19,65
2018-08-26,44
2018-09-02,39
2018-09-09,24
2018-09-16,39
2018-09-23,54
2018-09-30,33
2018-10-07,68
2018-10-14,38
2018-10-21,71
2018-10-28,23
2018-11-04,46
2018-11-11,23
2018-11-18,41
2018-11-25,64
2018-12-02,37
2018-12-09,42
2018-12-16,61
2018-12-23,33
2018-12-30,39
2019-01-06,41
2019-01-13,45
2019-01-20,68
2019-01-27,46
2019-02-03,55
2019-02-10,92
2019-02-17,78
2019-02-24,79
2019-03-03,78
2019-03-10,91
2019-03-17,100
2019-03-24,74
2019-03-31,34
2019-04-07,28
2019-04-14,39
2019-04-21,44
2019-04-28,27
2019-05-05,58
2019-05-12,53
2019-05-19,40
2019-05-26,18
2019-06-02,65
2019-06-09,56
2019-06-16,23
2019-06-23,49
2019-06-30,57
2019-07-07,57
2019-07-14,69
2019-07-21,81
2019-07-28,30
2019-08-04,72
2019-08-11,52
2019-08-18,57
2019-08-25,24
2019-09-01,50
2019-09-08,36
2019-09-15,73
2019-09-22,67
2019-09-29,42
2019-10-06,47
2019-10-13,38
2019-10-20,30
2019-10-27,30
2019-11-03,48
2019-11-10,20
2019-11-17,32
2019-11-24,41
2019-12-01,34
2019-12-08,33
2019-12-15,50
2019-12-22,37
2019-12-29,33
2020-01-05,35
2020-01-12,45
2020-01-19,47
2020-01-26,50
2020-02-02,38
2020-02-09,42
2020-02-16,95
2020-02-23,40
2020-03-01,67
2020-03-08,46
