date,Game_CZ
2020-03-15,81
2020-03-22,84
2020-03-29,80
2020-04-05,71
2020-04-12,70
2020-04-19,69
2020-04-26,64
2020-05-03,90
2020-05-10,63
2020-05-17,61
2020-05-24,60
2020-05-31,60
2020-06-07,64
2020-06-14,62
2020-06-21,62
2020-06-28,59
2020-07-05,66
2020-07-12,57
2020-07-19,54
2020-07-26,59
2020-08-02,60
2020-08-09,56
2020-08-16,57
2020-08-23,52
2020-08-30,58
2020-09-06,61
2020-09-13,54
2020-09-20,62
2020-09-27,67
2020-10-04,64
2020-10-11,70
2020-10-18,72
2020-10-25,82
2020-11-01,82
2020-11-08,85
2020-11-15,87
2020-11-22,86
2020-11-29,86
2020-12-06,86
2020-12-13,85
2020-12-20,95
2020-12-27,94
2021-01-03,74
2021-01-10,64
2021-01-17,68
2021-01-24,74
2021-01-31,71
2021-02-07,71
2021-02-14,68
2021-02-21,64
2021-02-28,70
2021-03-07,71
2021-03-14,68
2021-03-21,67
2021-03-28,66
2021-04-04,68
2021-04-11,64
2021-04-18,60
2021-04-25,62
2021-05-02,63
2021-05-09,57
2021-05-16,57
2021-05-23,64
2021-05-30,59
2021-06-06,55
2021-06-13,59
2021-06-20,67
2021-06-27,59
2021-07-04,55
2021-07-11,59
2021-07-18,67
2021-07-25,89
2021-08-01,100
2021-08-08,76
2021-08-15,63
2021-08-22,81
2021-08-29,73
