date,Music_CZ
2020-03-15,69
2020-03-22,99
2020-03-29,86
2020-04-05,97
2020-04-12,91
2020-04-19,78
2020-04-26,83
2020-05-03,85
2020-05-10,90
2020-05-17,84
2020-05-24,85
2020-05-31,93
2020-06-07,90
2020-06-14,81
2020-06-21,92
2020-06-28,79
2020-07-05,89
2020-07-12,94
2020-07-19,88
2020-07-26,81
2020-08-02,97
2020-08-09,88
2020-08-16,84
2020-08-23,86
2020-08-30,88
2020-09-06,92
2020-09-13,89
2020-09-20,81
2020-09-27,80
2020-10-04,99
2020-10-11,80
2020-10-18,93
2020-10-25,92
2020-11-01,73
2020-11-08,85
2020-11-15,87
2020-11-22,84
2020-11-29,91
2020-12-06,81
2020-12-13,89
2020-12-20,83
2020-12-27,90
2021-01-03,79
2021-01-10,87
2021-01-17,72
2021-01-24,75
2021-01-31,83
2021-02-07,84
2021-02-14,78
2021-02-21,86
2021-02-28,77
2021-03-07,88
2021-03-14,79
2021-03-21,89
2021-03-28,77
2021-04-04,80
2021-04-11,84
2021-04-18,79
2021-04-25,79
2021-05-02,75
2021-05-09,81
2021-05-16,87
2021-05-23,86
2021-05-30,84
2021-06-06,76
2021-06-13,83
2021-06-20,71
2021-06-27,76
2021-07-04,78
2021-07-11,85
2021-07-18,78
2021-07-25,78
2021-08-01,70
2021-08-08,86
2021-08-15,85
2021-08-22,100
2021-08-29,89
