date,Pets_CZ
2020-03-15,49
2020-03-22,48
2020-03-29,79
2020-04-05,68
2020-04-12,60
2020-04-19,58
2020-04-26,65
2020-05-03,69
2020-05-10,36
2020-05-17,60
2020-05-24,61
2020-05-31,39
2020-06-07,55
2020-06-14,61
2020-06-21,50
2020-06-28,64
2020-07-05,42
2020-07-12,66
2020-07-19,36
2020-07-26,55
2020-08-02,62
2020-08-09,59
2020-08-16,73
2020-08-23,72
2020-08-30,50
2020-09-06,65
2020-09-13,48
2020-09-20,48
2020-09-27,47
2020-10-04,29
2020-10-11,74
2020-10-18,56
2020-10-25,88
2020-11-01,73
2020-11-08,75
2020-11-15,63
2020-11-22,65
2020-11-29,51
2020-12-06,76
2020-12-13,45
2020-12-20,78
2020-12-27,73
2021-01-03,41
2021-01-10,76
2021-01-17,79
2021-01-24,64
2021-01-31,70
2021-02-07,87
2021-02-14,56
2021-02-21,67
2021-02-28,73
2021-03-07,69
2021-03-14,73
2021-03-21,61
2021-03-28,90
2021-04-04,81
2021-04-11,64
2021-04-18,54
2021-04-25,62
2021-05-02,36
2021-05-09,51
2021-05-16,49
2021-05-23,68
2021-05-30,18
2021-06-06,50
2021-06-13,41
2021-06-20,40
2021-06-27,63
2021-07-04,48
2021-07-11,59
2021-07-18,19
2021-07-25,42
2021-08-01,49
2021-08-08,100
2021-08-15,45
2021-08-22,67
2021-08-29,49
