date,Sports_CZ
2018-01-07,51
2018-01-14,64
2018-01-21,60
2018-01-28,54
2018-02-04,65
2018-02-11,93
2018-02-18,100
2018-02-25,72
2018-03-04,63
2018-03-11,70
2018-03-18,67
2018-03-25,56
2018-04-01,57
2018-04-08,67
2018-04-15,66
2018-04-22,62
2018-04-29,65
2018-05-06,84
2018-05-13,72
2018-05-20,62
2018-05-27,61
2018-06-03,61
2018-06-10,58
2018-06-17,70
2018-06-24,59
2018-07-01,69
2018-07-08,58
2018-07-15,56
2018-07-22,57
2018-07-29,55
2018-08-05,61
2018-08-12,55
2018-08-19,55
2018-08-26,62
2018-09-02,64
2018-09-09,58
2018-09-16,78
2018-09-23,59
2018-09-30,69
2018-10-07,62
2018-10-14,59
2018-10-21,66
2018-10-28,58
2018-11-04,67
2018-11-11,59
2018-11-18,61
2018-11-25,58
2018-12-02,60
2018-12-09,66
2018-12-16,54
2018-12-23,69
2018-12-30,62
2019-01-06,67
2019-01-13,67
2019-01-20,73
2019-01-27,76
2019-02-03,75
2019-02-10,71
2019-02-17,87
2019-02-24,79
2019-03-03,77
2019-03-10,81
2019-03-17,73
2019-03-24,69
2019-03-31,64
2019-04-07,72
2019-04-14,73
2019-04-21,63
2019-04-28,63
2019-05-05,76
2019-05-12,76
2019-05-19,84
2019-05-26,65
2019-06-02,67
2019-06-09,58
2019-06-16,52
2019-06-23,51
2019-06-30,59
2019-07-07,70
2019-07-14,61
2019-07-21,55
2019-07-28,62
2019-08-04,63
2019-08-11,65
2019-08-18,70
2019-08-25,70
2019-09-01,65
2019-09-08,66
2019-09-15,68
2019-09-22,65
2019-09-29,73
2019-10-06,60
2019-10-13,52
2019-10-20,74
2019-10-27,62
2019-11-03,78
2019-11-10,61
2019-11-17,54
2019-11-24,61
2019-12-01,65
2019-12-08,66
2019-12-15,60
2019-12-22,56
2019-12-29,63
2020-01-05,54
2020-01-12,64
2020-01-19,65
2020-01-26,65
2020-02-02,62
2020-02-09,61
2020-02-16,65
2020-02-23,65
2020-03-01,61
2020-03-08,51
