date,Crafts_DE
2020-03-15,95
2020-03-22,95
2020-03-29,59
2020-04-05,61
2020-04-12,59
2020-04-19,59
2020-04-26,62
2020-05-03,44
2020-05-10,56
2020-05-17,50
2020-05-24,52
2020-05-31,54
2020-06-07,51
2020-06-14,56
2020-06-21,58
2020-06-28,62
2020-07-05,59
2020-07-12,51
2020-07-19,53
2020-07-26,54
2020-08-02,45
2020-08-09,46
2020-08-16,50
2020-08-23,50
2020-08-30,50
2020-09-06,53
2020-09-13,50
2020-09-20,52
2020-09-27,59
2020-10-04,49
2020-10-11,51
2020-10-18,50
2020-10-25,59
2020-11-01,47
2020-11-08,66
2020-11-15,59
2020-11-22,58
2020-11-29,55
2020-12-06,57
2020-12-13,100
2020-12-20,46
2020-12-27,51
2021-01-03,64
2021-01-10,61
2021-01-17,75
2021-01-24,58
2021-01-31,60
2021-02-07,57
2021-02-14,53
2021-02-21,60
2021-02-28,57
2021-03-07,55
2021-03-14,60
2021-03-21,59
2021-03-28,53
2021-04-04,50
2021-04-11,58
2021-04-18,63
2021-04-25,64
2021-05-02,65
2021-05-09,50
2021-05-16,58
2021-05-23,47
2021-05-30,45
2021-06-06,44
2021-06-13,51
2021-06-20,47
2021-06-27,50
2021-07-04,47
2021-07-11,54
2021-07-18,44
2021-07-25,52
2021-08-01,42
2021-08-08,52
2021-08-15,51
2021-08-22,55
2021-08-29,52
