date,Game_DE
2020-03-15,48
2020-03-22,54
2020-03-29,55
2020-04-05,49
2020-04-12,51
2020-04-19,44
2020-04-26,47
2020-05-03,43
2020-05-10,46
2020-05-17,51
2020-05-24,50
2020-05-31,49
2020-06-07,48
2020-06-14,47
2020-06-21,43
2020-06-28,46
2020-07-05,43
2020-07-12,41
2020-07-19,41
2020-07-26,40
2020-08-02,41
2020-08-09,44
2020-08-16,44
2020-08-23,44
2020-08-30,42
2020-09-06,41
2020-09-13,44
2020-09-20,44
2020-09-27,46
2020-10-04,46
2020-10-11,48
2020-10-18,49
2020-10-25,48
2020-11-01,46
2020-11-08,51
2020-11-15,53
2020-11-22,54
2020-11-29,55
2020-12-06,60
2020-12-13,65
2020-12-20,68
2020-12-27,69
2021-01-03,55
2021-01-10,53
2021-01-17,54
2021-01-24,54
2021-01-31,53
2021-02-07,52
2021-02-14,53
2021-02-21,49
2021-02-28,48
2021-03-07,51
2021-03-14,50
2021-03-21,49
2021-03-28,47
2021-04-04,51
2021-04-11,49
2021-04-18,46
2021-04-25,45
2021-05-02,47
2021-05-09,48
2021-05-16,46
2021-05-23,49
2021-05-30,43
2021-06-06,63
2021-06-13,100
2021-06-20,94
2021-06-27,91
2021-07-04,60
2021-07-11,49
2021-07-18,46
2021-07-25,49
2021-08-01,51
2021-08-08,46
2021-08-15,47
2021-08-22,53
2021-08-29,55
