date,Music_DE
2020-03-15,74
2020-03-22,86
2020-03-29,85
2020-04-05,82
2020-04-12,88
2020-04-19,82
2020-04-26,85
2020-05-03,82
2020-05-10,79
2020-05-17,85
2020-05-24,81
2020-05-31,82
2020-06-07,83
2020-06-14,82
2020-06-21,87
2020-06-28,85
2020-07-05,89
2020-07-12,91
2020-07-19,88
2020-07-26,87
2020-08-02,85
2020-08-09,81
2020-08-16,79
2020-08-23,80
2020-08-30,80
2020-09-06,82
2020-09-13,87
2020-09-20,85
2020-09-27,81
2020-10-04,86
2020-10-11,85
2020-10-18,87
2020-10-25,89
2020-11-01,75
2020-11-08,87
2020-11-15,89
2020-11-22,88
2020-11-29,88
2020-12-06,88
2020-12-13,86
2020-12-20,100
2020-12-27,96
2021-01-03,76
2021-01-10,82
2021-01-17,81
2021-01-24,88
2021-01-31,83
2021-02-07,83
2021-02-14,85
2021-02-21,81
2021-02-28,80
2021-03-07,79
2021-03-14,77
2021-03-21,76
2021-03-28,76
2021-04-04,78
2021-04-11,75
2021-04-18,72
2021-04-25,73
2021-05-02,68
2021-05-09,68
2021-05-16,67
2021-05-23,67
2021-05-30,66
2021-06-06,62
2021-06-13,62
2021-06-20,67
2021-06-27,60
2021-07-04,68
2021-07-11,67
2021-07-18,68
2021-07-25,68
2021-08-01,71
2021-08-08,65
2021-08-15,70
2021-08-22,69
2021-08-29,70
