date,Sports_DE
2018-01-07,81
2018-01-14,84
2018-01-21,85
2018-01-28,81
2018-02-04,78
2018-02-11,83
2018-02-18,83
2018-02-25,75
2018-03-04,82
2018-03-11,78
2018-03-18,74
2018-03-25,75
2018-04-01,77
2018-04-08,82
2018-04-15,82
2018-04-22,84
2018-04-29,75
2018-05-06,74
2018-05-13,77
2018-05-20,78
2018-05-27,78
2018-06-03,75
2018-06-10,80
2018-06-17,91
2018-06-24,88
2018-07-01,84
2018-07-08,78
2018-07-15,74
2018-07-22,69
2018-07-29,69
2018-08-05,76
2018-08-12,74
2018-08-19,73
2018-08-26,74
2018-09-02,73
2018-09-09,72
2018-09-16,83
2018-09-23,74
2018-09-30,76
2018-10-07,73
2018-10-14,76
2018-10-21,77
2018-10-28,71
2018-11-04,76
2018-11-11,74
2018-11-18,71
2018-11-25,74
2018-12-02,68
2018-12-09,72
2018-12-16,68
2018-12-23,63
2018-12-30,72
2019-01-06,89
2019-01-13,87
2019-01-20,90
2019-01-27,95
2019-02-03,94
2019-02-10,95
2019-02-17,100
2019-02-24,95
2019-03-03,92
2019-03-10,98
2019-03-17,90
2019-03-24,86
2019-03-31,82
2019-04-07,80
2019-04-14,79
2019-04-21,73
2019-04-28,86
2019-05-05,85
2019-05-12,80
2019-05-19,80
2019-05-26,84
2019-06-02,79
2019-06-09,84
2019-06-16,85
2019-06-23,83
2019-06-30,78
2019-07-07,74
2019-07-14,73
2019-07-21,73
2019-07-28,75
2019-08-04,78
2019-08-11,79
2019-08-18,82
2019-08-25,81
2019-09-01,80
2019-09-08,78
2019-09-15,83
2019-09-22,78
2019-09-29,94
2019-10-06,86
2019-10-13,85
2019-10-20,94
2019-10-27,91
2019-11-03,97
2019-11-10,84
2019-11-17,85
2019-11-24,89
2019-12-01,88
2019-12-08,88
2019-12-15,88
2019-12-22,71
2019-12-29,76
2020-01-05,90
2020-01-12,97
2020-01-19,99
2020-01-26,97
2020-02-02,96
2020-02-09,86
2020-02-16,99
2020-02-23,90
2020-03-01,87
2020-03-08,79
