date,Collecting_DK
2018-01-07,0
2018-01-14,22
2018-01-21,44
2018-01-28,65
2018-02-04,44
2018-02-11,24
2018-02-18,0
2018-02-25,66
2018-03-04,44
2018-03-11,22
2018-03-18,89
2018-03-25,74
2018-04-01,45
2018-04-08,0
2018-04-15,0
2018-04-22,22
2018-04-29,22
2018-05-06,23
2018-05-13,23
2018-05-20,23
2018-05-27,22
2018-06-03,46
2018-06-10,21
2018-06-17,21
2018-06-24,24
2018-07-01,0
2018-07-08,25
2018-07-15,0
2018-07-22,0
2018-07-29,24
2018-08-05,45
2018-08-12,22
2018-08-19,89
2018-08-26,66
2018-09-02,44
2018-09-09,22
2018-09-16,44
2018-09-23,0
2018-09-30,0
2018-10-07,24
2018-10-14,25
2018-10-21,46
2018-10-28,0
2018-11-04,0
2018-11-11,23
2018-11-18,0
2018-11-25,0
2018-12-02,22
2018-12-09,23
2018-12-16,24
2018-12-23,26
2018-12-30,24
2019-01-06,22
2019-01-13,44
2019-01-20,22
2019-01-27,22
2019-02-03,67
2019-02-10,95
2019-02-17,66
2019-02-24,45
2019-03-03,22
2019-03-10,22
2019-03-17,46
2019-03-24,22
2019-03-31,23
2019-04-07,46
2019-04-14,26
2019-04-21,68
2019-04-28,64
2019-05-05,22
2019-05-12,69
2019-05-19,0
2019-05-26,45
2019-06-02,0
2019-06-09,22
2019-06-16,67
2019-06-23,0
2019-06-30,48
2019-07-07,100
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,24
2019-08-11,43
2019-08-18,22
2019-08-25,89
2019-09-01,0
2019-09-08,43
2019-09-15,44
2019-09-22,65
2019-09-29,21
2019-10-06,22
2019-10-13,23
2019-10-20,0
2019-10-27,0
2019-11-03,42
2019-11-10,63
2019-11-17,21
2019-11-24,0
2019-12-01,21
2019-12-08,42
2019-12-15,43
2019-12-22,49
2019-12-29,67
2020-01-05,0
2020-01-12,39
2020-01-19,21
2020-01-26,40
2020-02-02,20
2020-02-09,43
2020-02-16,20
2020-02-23,0
2020-03-01,20
2020-03-08,38
