date,Cooking_DK
2020-03-15,33
2020-03-22,64
2020-03-29,70
2020-04-05,84
2020-04-12,45
2020-04-19,75
2020-04-26,68
2020-05-03,67
2020-05-10,38
2020-05-17,67
2020-05-24,59
2020-05-31,51
2020-06-07,38
2020-06-14,47
2020-06-21,62
2020-06-28,64
2020-07-05,61
2020-07-12,49
2020-07-19,60
2020-07-26,83
2020-08-02,59
2020-08-09,64
2020-08-16,60
2020-08-23,72
2020-08-30,63
2020-09-06,67
2020-09-13,58
2020-09-20,59
2020-09-27,37
2020-10-04,62
2020-10-11,43
2020-10-18,69
2020-10-25,57
2020-11-01,37
2020-11-08,74
2020-11-15,70
2020-11-22,61
2020-11-29,53
2020-12-06,54
2020-12-13,41
2020-12-20,78
2020-12-27,100
2021-01-03,52
2021-01-10,90
2021-01-17,92
2021-01-24,55
2021-01-31,55
2021-02-07,84
2021-02-14,59
2021-02-21,60
2021-02-28,87
2021-03-07,48
2021-03-14,54
2021-03-21,42
2021-03-28,43
2021-04-04,78
2021-04-11,43
2021-04-18,55
2021-04-25,51
2021-05-02,57
2021-05-09,60
2021-05-16,66
2021-05-23,45
2021-05-30,61
2021-06-06,78
2021-06-13,35
2021-06-20,51
2021-06-27,73
2021-07-04,51
2021-07-11,42
2021-07-18,82
2021-07-25,60
2021-08-01,55
2021-08-08,62
2021-08-15,46
2021-08-22,87
2021-08-29,45
