date,Crafts_EG
2020-03-15,78
2020-03-22,54
2020-03-29,55
2020-04-05,55
2020-04-12,56
2020-04-19,37
2020-04-26,65
2020-05-03,67
2020-05-10,86
2020-05-17,67
2020-05-24,80
2020-05-31,41
2020-06-07,63
2020-06-14,56
2020-06-21,41
2020-06-28,55
2020-07-05,48
2020-07-12,39
2020-07-19,42
2020-07-26,48
2020-08-02,38
2020-08-09,47
2020-08-16,39
2020-08-23,43
2020-08-30,43
2020-09-06,56
2020-09-13,57
2020-09-20,44
2020-09-27,63
2020-10-04,67
2020-10-11,68
2020-10-18,54
2020-10-25,72
2020-11-01,100
2020-11-08,84
2020-11-15,18
2020-11-22,65
2020-11-29,74
2020-12-06,82
2020-12-13,45
2020-12-20,52
2020-12-27,22
2021-01-03,46
2021-01-10,46
2021-01-17,42
2021-01-24,43
2021-01-31,70
2021-02-07,41
2021-02-14,58
2021-02-21,62
2021-02-28,29
2021-03-07,59
2021-03-14,53
2021-03-21,52
2021-03-28,66
2021-04-04,47
2021-04-11,35
2021-04-18,87
2021-04-25,82
2021-05-02,33
2021-05-09,41
2021-05-16,46
2021-05-23,28
2021-05-30,50
2021-06-06,39
2021-06-13,16
2021-06-20,58
2021-06-27,29
2021-07-04,50
2021-07-11,43
2021-07-18,46
2021-07-25,32
2021-08-01,47
2021-08-08,25
2021-08-15,63
2021-08-22,71
2021-08-29,63
