date,Learning_EG
2018-01-07,58
2018-01-14,54
2018-01-21,74
2018-01-28,54
2018-02-04,69
2018-02-11,75
2018-02-18,67
2018-02-25,50
2018-03-04,67
2018-03-11,76
2018-03-18,69
2018-03-25,52
2018-04-01,57
2018-04-08,62
2018-04-15,93
2018-04-22,53
2018-04-29,52
2018-05-06,43
2018-05-13,43
2018-05-20,41
2018-05-27,66
2018-06-03,68
2018-06-10,44
2018-06-17,57
2018-06-24,58
2018-07-01,67
2018-07-08,65
2018-07-15,61
2018-07-22,47
2018-07-29,70
2018-08-05,59
2018-08-12,62
2018-08-19,50
2018-08-26,62
2018-09-02,67
2018-09-09,80
2018-09-16,58
2018-09-23,86
2018-09-30,65
2018-10-07,87
2018-10-14,69
2018-10-21,86
2018-10-28,77
2018-11-04,78
2018-11-11,75
2018-11-18,82
2018-11-25,81
2018-12-02,80
2018-12-09,78
2018-12-16,70
2018-12-23,67
2018-12-30,68
2019-01-06,82
2019-01-13,49
2019-01-20,54
2019-01-27,65
2019-02-03,72
2019-02-10,62
2019-02-17,85
2019-02-24,86
2019-03-03,82
2019-03-10,76
2019-03-17,68
2019-03-24,81
2019-03-31,65
2019-04-07,67
2019-04-14,72
2019-04-21,47
2019-04-28,56
2019-05-05,50
2019-05-12,75
2019-05-19,40
2019-05-26,50
2019-06-02,57
2019-06-09,78
2019-06-16,66
2019-06-23,62
2019-06-30,78
2019-07-07,58
2019-07-14,70
2019-07-21,58
2019-07-28,66
2019-08-04,62
2019-08-11,59
2019-08-18,69
2019-08-25,62
2019-09-01,70
2019-09-08,93
2019-09-15,90
2019-09-22,85
2019-09-29,100
2019-10-06,70
2019-10-13,86
2019-10-20,82
2019-10-27,89
2019-11-03,70
2019-11-10,78
2019-11-17,90
2019-11-24,78
2019-12-01,63
2019-12-08,79
2019-12-15,72
2019-12-22,78
2019-12-29,67
2020-01-05,65
2020-01-12,58
2020-01-19,65
2020-01-26,58
2020-02-02,66
2020-02-09,55
2020-02-16,83
2020-02-23,64
2020-03-01,64
2020-03-08,70
