date,Performing_Art_EG
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,21
2018-02-11,0
2018-02-18,20
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,21
2018-05-06,21
2018-05-13,22
2018-05-20,0
2018-05-27,0
2018-06-03,22
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,18
2018-09-02,0
2018-09-09,0
2018-09-16,19
2018-09-23,39
2018-09-30,19
2018-10-07,0
2018-10-14,40
2018-10-21,0
2018-10-28,39
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,100
2018-12-02,0
2018-12-09,19
2018-12-16,18
2018-12-23,0
2018-12-30,58
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,17
2019-02-10,18
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,19
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,18
2019-05-26,0
2019-06-02,17
2019-06-09,16
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,17
2019-07-14,17
2019-07-21,17
2019-07-28,36
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,18
2019-09-01,18
2019-09-08,17
2019-09-15,18
2019-09-22,0
2019-09-29,18
2019-10-06,0
2019-10-13,18
2019-10-20,0
2019-10-27,35
2019-11-03,0
2019-11-10,17
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,16
2019-12-29,16
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,15
2020-02-02,15
2020-02-09,0
2020-02-16,0
2020-02-23,15
2020-03-01,30
2020-03-08,0
