date,Arts_ES
2020-03-15,77
2020-03-22,80
2020-03-29,86
2020-04-05,77
2020-04-12,96
2020-04-19,95
2020-04-26,94
2020-05-03,100
2020-05-10,97
2020-05-17,96
2020-05-24,93
2020-05-31,84
2020-06-07,88
2020-06-14,75
2020-06-21,67
2020-06-28,66
2020-07-05,66
2020-07-12,65
2020-07-19,62
2020-07-26,67
2020-08-02,60
2020-08-09,61
2020-08-16,64
2020-08-23,67
2020-08-30,70
2020-09-06,75
2020-09-13,83
2020-09-20,87
2020-09-27,81
2020-10-04,85
2020-10-11,76
2020-10-18,73
2020-10-25,71
2020-11-01,71
2020-11-08,82
2020-11-15,84
2020-11-22,75
2020-11-29,79
2020-12-06,76
2020-12-13,75
2020-12-20,71
2020-12-27,71
2021-01-03,60
2021-01-10,79
2021-01-17,77
2021-01-24,85
2021-01-31,80
2021-02-07,81
2021-02-14,80
2021-02-21,86
2021-02-28,81
2021-03-07,85
2021-03-14,82
2021-03-21,78
2021-03-28,72
2021-04-04,87
2021-04-11,87
2021-04-18,80
2021-04-25,86
2021-05-02,85
2021-05-09,89
2021-05-16,84
2021-05-23,84
2021-05-30,83
2021-06-06,75
2021-06-13,72
2021-06-20,71
2021-06-27,68
2021-07-04,63
2021-07-11,63
2021-07-18,74
2021-07-25,93
2021-08-01,71
2021-08-08,59
2021-08-15,56
2021-08-22,67
2021-08-29,68
