date,Collecting_ES
2020-03-15,54
2020-03-22,48
2020-03-29,58
2020-04-05,53
2020-04-12,56
2020-04-19,53
2020-04-26,60
2020-05-03,50
2020-05-10,65
2020-05-17,72
2020-05-24,63
2020-05-31,57
2020-06-07,64
2020-06-14,63
2020-06-21,61
2020-06-28,60
2020-07-05,50
2020-07-12,39
2020-07-19,57
2020-07-26,61
2020-08-02,57
2020-08-09,57
2020-08-16,57
2020-08-23,92
2020-08-30,100
2020-09-06,84
2020-09-13,73
2020-09-20,69
2020-09-27,53
2020-10-04,69
2020-10-11,59
2020-10-18,53
2020-10-25,63
2020-11-01,70
2020-11-08,72
2020-11-15,72
2020-11-22,67
2020-11-29,60
2020-12-06,66
2020-12-13,67
2020-12-20,80
2020-12-27,76
2021-01-03,82
2021-01-10,84
2021-01-17,82
2021-01-24,71
2021-01-31,73
2021-02-07,77
2021-02-14,68
2021-02-21,72
2021-02-28,67
2021-03-07,56
2021-03-14,59
2021-03-21,77
2021-03-28,65
2021-04-04,63
2021-04-11,54
2021-04-18,66
2021-04-25,57
2021-05-02,61
2021-05-09,55
2021-05-16,60
2021-05-23,55
2021-05-30,57
2021-06-06,57
2021-06-13,59
2021-06-20,59
2021-06-27,52
2021-07-04,47
2021-07-11,62
2021-07-18,63
2021-07-25,61
2021-08-01,59
2021-08-08,48
2021-08-15,57
2021-08-22,79
2021-08-29,94
