date,Cooking_ES
2018-01-07,59
2018-01-14,52
2018-01-21,54
2018-01-28,54
2018-02-04,49
2018-02-11,52
2018-02-18,48
2018-02-25,47
2018-03-04,46
2018-03-11,45
2018-03-18,48
2018-03-25,45
2018-04-01,44
2018-04-08,46
2018-04-15,42
2018-04-22,50
2018-04-29,48
2018-05-06,45
2018-05-13,45
2018-05-20,44
2018-05-27,42
2018-06-03,42
2018-06-10,39
2018-06-17,39
2018-06-24,39
2018-07-01,35
2018-07-08,37
2018-07-15,39
2018-07-22,44
2018-07-29,41
2018-08-05,44
2018-08-12,43
2018-08-19,46
2018-08-26,45
2018-09-02,46
2018-09-09,50
2018-09-16,50
2018-09-23,50
2018-09-30,46
2018-10-07,47
2018-10-14,44
2018-10-21,50
2018-10-28,54
2018-11-04,60
2018-11-11,56
2018-11-18,54
2018-11-25,55
2018-12-02,56
2018-12-09,54
2018-12-16,60
2018-12-23,100
2018-12-30,77
2019-01-06,51
2019-01-13,53
2019-01-20,53
2019-01-27,54
2019-02-03,52
2019-02-10,50
2019-02-17,52
2019-02-24,46
2019-03-03,46
2019-03-10,44
2019-03-17,50
2019-03-24,52
2019-03-31,50
2019-04-07,47
2019-04-14,43
2019-04-21,45
2019-04-28,50
2019-05-05,48
2019-05-12,47
2019-05-19,42
2019-05-26,39
2019-06-02,44
2019-06-09,43
2019-06-16,38
2019-06-23,40
2019-06-30,33
2019-07-07,43
2019-07-14,40
2019-07-21,40
2019-07-28,40
2019-08-04,47
2019-08-11,45
2019-08-18,48
2019-08-25,48
2019-09-01,46
2019-09-08,45
2019-09-15,47
2019-09-22,48
2019-09-29,48
2019-10-06,47
2019-10-13,55
2019-10-20,52
2019-10-27,54
2019-11-03,55
2019-11-10,50
2019-11-17,58
2019-11-24,58
2019-12-01,56
2019-12-08,57
2019-12-15,57
2019-12-22,97
2019-12-29,81
2020-01-05,55
2020-01-12,54
2020-01-19,54
2020-01-26,50
2020-02-02,55
2020-02-09,51
2020-02-16,53
2020-02-23,50
2020-03-01,47
2020-03-08,45
