date,Crafts_ES
2018-01-07,24
2018-01-14,24
2018-01-21,26
2018-01-28,34
2018-02-04,27
2018-02-11,42
2018-02-18,28
2018-02-25,32
2018-03-04,28
2018-03-11,31
2018-03-18,36
2018-03-25,81
2018-04-01,30
2018-04-08,22
2018-04-15,33
2018-04-22,24
2018-04-29,28
2018-05-06,23
2018-05-13,26
2018-05-20,32
2018-05-27,29
2018-06-03,29
2018-06-10,25
2018-06-17,22
2018-06-24,22
2018-07-01,18
2018-07-08,19
2018-07-15,24
2018-07-22,27
2018-07-29,24
2018-08-05,20
2018-08-12,20
2018-08-19,27
2018-08-26,18
2018-09-02,21
2018-09-09,23
2018-09-16,28
2018-09-23,26
2018-09-30,30
2018-10-07,22
2018-10-14,28
2018-10-21,32
2018-10-28,24
2018-11-04,27
2018-11-11,31
2018-11-18,30
2018-11-25,34
2018-12-02,24
2018-12-09,28
2018-12-16,33
2018-12-23,23
2018-12-30,20
2019-01-06,33
2019-01-13,31
2019-01-20,31
2019-01-27,23
2019-02-03,34
2019-02-10,39
2019-02-17,35
2019-02-24,36
2019-03-03,40
2019-03-10,43
2019-03-17,44
2019-03-24,36
2019-03-31,30
2019-04-07,43
2019-04-14,100
2019-04-21,31
2019-04-28,22
2019-05-05,32
2019-05-12,24
2019-05-19,25
2019-05-26,24
2019-06-02,23
2019-06-09,31
2019-06-16,25
2019-06-23,26
2019-06-30,22
2019-07-07,26
2019-07-14,22
2019-07-21,24
2019-07-28,24
2019-08-04,22
2019-08-11,22
2019-08-18,25
2019-08-25,27
2019-09-01,19
2019-09-08,27
2019-09-15,22
2019-09-22,26
2019-09-29,30
2019-10-06,21
2019-10-13,38
2019-10-20,39
2019-10-27,35
2019-11-03,23
2019-11-10,30
2019-11-17,30
2019-11-24,30
2019-12-01,32
2019-12-08,34
2019-12-15,31
2019-12-22,26
2019-12-29,21
2020-01-05,31
2020-01-12,30
2020-01-19,38
2020-01-26,30
2020-02-02,32
2020-02-09,33
2020-02-16,28
2020-02-23,23
2020-03-01,23
2020-03-08,23
