date,Learning_ES
2018-01-07,65
2018-01-14,83
2018-01-21,76
2018-01-28,84
2018-02-04,75
2018-02-11,65
2018-02-18,84
2018-02-25,81
2018-03-04,78
2018-03-11,82
2018-03-18,72
2018-03-25,53
2018-04-01,79
2018-04-08,78
2018-04-15,84
2018-04-22,68
2018-04-29,68
2018-05-06,66
2018-05-13,84
2018-05-20,68
2018-05-27,62
2018-06-03,73
2018-06-10,68
2018-06-17,68
2018-06-24,58
2018-07-01,68
2018-07-08,53
2018-07-15,64
2018-07-22,52
2018-07-29,62
2018-08-05,46
2018-08-12,55
2018-08-19,51
2018-08-26,58
2018-09-02,65
2018-09-09,64
2018-09-16,67
2018-09-23,70
2018-09-30,89
2018-10-07,62
2018-10-14,86
2018-10-21,86
2018-10-28,58
2018-11-04,77
2018-11-11,73
2018-11-18,79
2018-11-25,96
2018-12-02,60
2018-12-09,78
2018-12-16,58
2018-12-23,44
2018-12-30,45
2019-01-06,75
2019-01-13,81
2019-01-20,68
2019-01-27,91
2019-02-03,89
2019-02-10,90
2019-02-17,85
2019-02-24,100
2019-03-03,80
2019-03-10,94
2019-03-17,78
2019-03-24,88
2019-03-31,85
2019-04-07,79
2019-04-14,52
2019-04-21,49
2019-04-28,63
2019-05-05,72
2019-05-12,86
2019-05-19,76
2019-05-26,76
2019-06-02,74
2019-06-09,71
2019-06-16,65
2019-06-23,70
2019-06-30,63
2019-07-07,60
2019-07-14,59
2019-07-21,61
2019-07-28,43
2019-08-04,55
2019-08-11,42
2019-08-18,46
2019-08-25,57
2019-09-01,54
2019-09-08,73
2019-09-15,69
2019-09-22,86
2019-09-29,80
2019-10-06,86
2019-10-13,83
2019-10-20,83
2019-10-27,66
2019-11-03,73
2019-11-10,79
2019-11-17,68
2019-11-24,65
2019-12-01,83
2019-12-08,76
2019-12-15,71
2019-12-22,43
2019-12-29,54
2020-01-05,69
2020-01-12,84
2020-01-19,72
2020-01-26,79
2020-02-02,83
2020-02-09,89
2020-02-16,86
2020-02-23,85
2020-03-01,88
2020-03-08,62
