date,Sports_ES
2020-03-15,43
2020-03-22,38
2020-03-29,39
2020-04-05,39
2020-04-12,46
2020-04-19,49
2020-04-26,89
2020-05-03,71
2020-05-10,62
2020-05-17,66
2020-05-24,61
2020-05-31,55
2020-06-07,59
2020-06-14,65
2020-06-21,66
2020-06-28,71
2020-07-05,70
2020-07-12,68
2020-07-19,61
2020-07-26,55
2020-08-02,63
2020-08-09,67
2020-08-16,68
2020-08-23,69
2020-08-30,63
2020-09-06,68
2020-09-13,73
2020-09-20,73
2020-09-27,87
2020-10-04,77
2020-10-11,75
2020-10-18,84
2020-10-25,84
2020-11-01,81
2020-11-08,76
2020-11-15,77
2020-11-22,92
2020-11-29,100
2020-12-06,100
2020-12-13,91
2020-12-20,82
2020-12-27,86
2021-01-03,95
2021-01-10,88
2021-01-17,96
2021-01-24,87
2021-01-31,89
2021-02-07,87
2021-02-14,98
2021-02-21,84
2021-02-28,72
2021-03-07,73
2021-03-14,69
2021-03-21,61
2021-03-28,67
2021-04-04,76
2021-04-11,72
2021-04-18,76
2021-04-25,72
2021-05-02,71
2021-05-09,76
2021-05-16,76
2021-05-23,65
2021-05-30,61
2021-06-06,64
2021-06-13,68
2021-06-20,66
2021-06-27,78
2021-07-04,64
2021-07-11,62
2021-07-18,59
2021-07-25,65
2021-08-01,70
2021-08-08,67
2021-08-15,68
2021-08-22,71
2021-08-29,77
